"","year","step","area","length","age","num","fleet"
"1",1982,1,"area1","allages","len1",0,"SpPal"
"2",1982,1,"area1","allages","len2",0,"SpPal"
"3",1982,1,"area1","allages","len3",0,"SpPal"
"4",1982,1,"area1","allages","len4",0,"SpPal"
"5",1982,1,"area1","allages","len5",0,"SpPal"
"6",1982,1,"area1","allages","len6",0,"SpPal"
"7",1982,1,"area1","allages","len7",0,"SpPal"
"8",1982,1,"area1","allages","len8",0,"SpPal"
"9",1982,1,"area1","allages","len9",0,"SpPal"
"10",1982,1,"area1","allages","len10",0,"SpPal"
"11",1982,1,"area1","allages","len11",0,"SpPal"
"12",1982,1,"area1","allages","len12",0,"SpPal"
"13",1982,1,"area1","allages","len13",0,"SpPal"
"14",1982,1,"area1","allages","len14",0,"SpPal"
"15",1982,1,"area1","allages","len15",0,"SpPal"
"16",1982,1,"area1","allages","len16",0,"SpPal"
"17",1982,1,"area1","allages","len17",0,"SpPal"
"18",1982,1,"area1","allages","len18",0,"SpPal"
"19",1982,1,"area1","allages","len19",0,"SpPal"
"20",1982,1,"area1","allages","len20",0,"SpPal"
"21",1982,1,"area1","allages","len21",0,"SpPal"
"22",1982,1,"area1","allages","len22",0,"SpPal"
"23",1982,1,"area1","allages","len23",0,"SpPal"
"24",1982,1,"area1","allages","len24",0,"SpPal"
"25",1982,1,"area1","allages","len25",0,"SpPal"
"26",1982,1,"area1","allages","len26",0,"SpPal"
"27",1982,1,"area1","allages","len27",0,"SpPal"
"28",1982,1,"area1","allages","len28",0,"SpPal"
"29",1982,1,"area1","allages","len29",0,"SpPal"
"30",1982,1,"area1","allages","len30",0,"SpPal"
"31",1982,1,"area1","allages","len31",0,"SpPal"
"32",1982,1,"area1","allages","len32",1,"SpPal"
"33",1982,1,"area1","allages","len33",0,"SpPal"
"34",1982,1,"area1","allages","len34",1,"SpPal"
"35",1982,1,"area1","allages","len35",2,"SpPal"
"36",1982,1,"area1","allages","len36",6,"SpPal"
"37",1982,1,"area1","allages","len37",13,"SpPal"
"38",1982,1,"area1","allages","len38",18,"SpPal"
"39",1982,1,"area1","allages","len39",16,"SpPal"
"40",1982,1,"area1","allages","len40",23,"SpPal"
"41",1982,1,"area1","allages","len41",26,"SpPal"
"42",1982,1,"area1","allages","len42",36,"SpPal"
"43",1982,1,"area1","allages","len43",46,"SpPal"
"44",1982,1,"area1","allages","len44",80,"SpPal"
"45",1982,1,"area1","allages","len45",98,"SpPal"
"46",1982,1,"area1","allages","len46",129,"SpPal"
"47",1982,1,"area1","allages","len47",118,"SpPal"
"48",1982,1,"area1","allages","len48",170,"SpPal"
"49",1982,1,"area1","allages","len49",164,"SpPal"
"50",1982,1,"area1","allages","len50",228,"SpPal"
"51",1982,1,"area1","allages","len51",198,"SpPal"
"52",1982,1,"area1","allages","len52",240,"SpPal"
"53",1982,1,"area1","allages","len53",211,"SpPal"
"54",1982,1,"area1","allages","len54",240,"SpPal"
"55",1982,1,"area1","allages","len55",191,"SpPal"
"56",1982,1,"area1","allages","len56",169,"SpPal"
"57",1982,1,"area1","allages","len57",190,"SpPal"
"58",1982,1,"area1","allages","len58",152,"SpPal"
"59",1982,1,"area1","allages","len59",87,"SpPal"
"60",1982,1,"area1","allages","len60",100,"SpPal"
"61",1982,1,"area1","allages","len61",75,"SpPal"
"62",1982,1,"area1","allages","len62",66,"SpPal"
"63",1982,1,"area1","allages","len63",61,"SpPal"
"64",1982,1,"area1","allages","len64",83,"SpPal"
"65",1982,1,"area1","allages","len65",80,"SpPal"
"66",1982,1,"area1","allages","len66",49,"SpPal"
"67",1982,1,"area1","allages","len67",23,"SpPal"
"68",1982,1,"area1","allages","len68",19,"SpPal"
"69",1982,1,"area1","allages","len69",12,"SpPal"
"70",1982,1,"area1","allages","len70",4,"SpPal"
"71",1982,1,"area1","allages","len71",9,"SpPal"
"72",1982,1,"area1","allages","len72",15,"SpPal"
"73",1982,1,"area1","allages","len73",6,"SpPal"
"74",1982,1,"area1","allages","len74",5,"SpPal"
"75",1982,1,"area1","allages","len75",3,"SpPal"
"76",1982,1,"area1","allages","len76",3,"SpPal"
"77",1982,1,"area1","allages","len77",8,"SpPal"
"78",1982,1,"area1","allages","len78",9,"SpPal"
"79",1982,1,"area1","allages","len79",2,"SpPal"
"80",1982,1,"area1","allages","len80",15,"SpPal"
"81",1982,1,"area1","allages","len81",0,"SpPal"
"82",1982,1,"area1","allages","len82",0,"SpPal"
"83",1982,1,"area1","allages","len83",0,"SpPal"
"84",1982,1,"area1","allages","len84",0,"SpPal"
"85",1982,1,"area1","allages","len85",0,"SpPal"
"86",1982,1,"area1","allages","len86",0,"SpPal"
"87",1982,1,"area1","allages","len87",0,"SpPal"
"88",1982,1,"area1","allages","len88",0,"SpPal"
"89",1982,1,"area1","allages","len89",0,"SpPal"
"90",1982,1,"area1","allages","len90",0,"SpPal"
"91",1982,1,"area1","allages","len91",0,"SpPal"
"92",1982,1,"area1","allages","len92",0,"SpPal"
"93",1982,1,"area1","allages","len93",0,"SpPal"
"94",1982,1,"area1","allages","len94",0,"SpPal"
"95",1982,1,"area1","allages","len95",0,"SpPal"
"96",1982,1,"area1","allages","len96",0,"SpPal"
"97",1982,1,"area1","allages","len97",0,"SpPal"
"98",1982,1,"area1","allages","len98",0,"SpPal"
"99",1982,1,"area1","allages","len99",0,"SpPal"
"100",1982,1,"area1","allages","len100",0,"SpPal"
"101",1982,1,"area1","allages","len101",0,"SpPal"
"102",1982,1,"area1","allages","len102",0,"SpPal"
"103",1982,1,"area1","allages","len103",0,"SpPal"
"104",1982,1,"area1","allages","len104",0,"SpPal"
"105",1982,1,"area1","allages","len105",0,"SpPal"
"106",1982,1,"area1","allages","len106",0,"SpPal"
"107",1982,1,"area1","allages","len107",0,"SpPal"
"108",1982,1,"area1","allages","len108",0,"SpPal"
"109",1982,1,"area1","allages","len109",0,"SpPal"
"110",1982,1,"area1","allages","len110",0,"SpPal"
"111",1982,1,"area1","allages","len111",0,"SpPal"
"112",1982,1,"area1","allages","len112",0,"SpPal"
"113",1982,1,"area1","allages","len113",0,"SpPal"
"114",1982,1,"area1","allages","len114",0,"SpPal"
"115",1982,1,"area1","allages","len115",0,"SpPal"
"116",1982,1,"area1","allages","len116",0,"SpPal"
"117",1982,1,"area1","allages","len117",0,"SpPal"
"118",1982,1,"area1","allages","len118",0,"SpPal"
"119",1982,1,"area1","allages","len119",0,"SpPal"
"120",1982,1,"area1","allages","len120",0,"SpPal"
"121",1982,1,"area1","allages","len121",0,"SpPal"
