"","year","step","area","fleet","amount"
"1",1948,1,1,"trawlers",1521.20261751863
"2",1948,2,1,"trawlers",1827.18434511006
"3",1948,3,1,"trawlers",1774.10304658631
"4",1948,4,1,"trawlers",1372.10792008957
"5",1949,1,1,"trawlers",1289.17772484434
"6",1949,2,1,"trawlers",1548.4888927831
"7",1949,3,1,"trawlers",1503.50394017089
"8",1949,4,1,"trawlers",1162.82403559584
"9",1950,1,1,"trawlers",1031.74864684074
"10",1950,2,1,"trawlers",1239.27933983639
"11",1950,3,1,"trawlers",1203.27719436693
"12",1950,4,1,"trawlers",930.625857179435
"13",1951,1,1,"trawlers",1247.51486090428
"14",1951,2,1,"trawlers",1498.44576776672
"15",1951,3,1,"trawlers",1454.91461157367
"16",1951,4,1,"trawlers",1125.24459356266
"17",1952,1,1,"trawlers",1056.47538722793
"18",1952,2,1,"trawlers",1268.97973110627
"19",1952,3,1,"trawlers",1232.11476337179
"20",1952,4,1,"trawlers",952.929103264169
"21",1953,1,1,"trawlers",1153.01129147928
"22",1953,2,1,"trawlers",1384.93331346129
"23",1953,3,1,"trawlers",1344.69979304827
"24",1953,4,1,"trawlers",1040.00342017032
"25",1954,1,1,"trawlers",1210.59411155903
"26",1954,2,1,"trawlers",1454.09860819937
"27",1954,3,1,"trawlers",1411.85577566232
"28",1954,4,1,"trawlers",1091.94248639504
"29",1955,1,1,"trawlers",1091.02507927578
"30",1955,2,1,"trawlers",1310.47890794912
"31",1955,3,1,"trawlers",1272.40835294021
"32",1955,4,1,"trawlers",984.092542999002
"33",1956,1,1,"trawlers",780.416573316173
"34",1956,2,1,"trawlers",937.393171038428
"35",1956,3,1,"trawlers",910.161082016222
"36",1956,4,1,"trawlers",703.927109304471
"37",1957,1,1,"trawlers",1112.02587248134
"38",1957,2,1,"trawlers",1335.70389779477
"39",1957,3,1,"trawlers",1296.90053483475
"40",1957,4,1,"trawlers",1003.03502597508
"41",1958,1,1,"trawlers",1523.20108009787
"42",1958,2,1,"trawlers",1829.58478769215
"43",1958,3,1,"trawlers",1776.43375421821
"44",1958,4,1,"trawlers",1373.91051121149
"45",1959,1,1,"trawlers",1467.92157282131
"46",1959,2,1,"trawlers",1763.18610474359
"47",1959,3,1,"trawlers",1711.96401090872
"48",1959,4,1,"trawlers",1324.04900763576
"49",1960,1,1,"trawlers",1981.01837197901
"50",1960,2,1,"trawlers",2379.48956632736
"51",1960,3,1,"trawlers",2310.36331951904
"52",1960,4,1,"trawlers",1786.85664008993
"53",1961,1,1,"trawlers",2176.02089856674
"54",1961,2,1,"trawlers",2613.71580268449
"55",1961,3,1,"trawlers",2537.78507946554
"56",1961,4,1,"trawlers",1962.74676024036
"57",1962,1,1,"trawlers",2163.45429489051
"58",1962,2,1,"trawlers",2598.62149424459
"59",1962,3,1,"trawlers",2523.12927384801
"60",1962,4,1,"trawlers",1951.41182284661
"61",1963,1,1,"trawlers",2358.93103293771
"62",1963,2,1,"trawlers",2833.41732714662
"63",1963,3,1,"trawlers",2751.10408306309
