"","year","seas","index","obs","se"
"1",1982,8.5,"SpGFS",NA,NA
"2",1983,8.5,"SpGFS",7.04,0.65
"3",1984,8.5,"SpGFS",6.33,0.6
"4",1985,8.5,"SpGFS",3.83,0.39
"5",1986,8.5,"SpGFS",4.16,0.5
"6",1987,8.5,"SpGFS",NA,NA
"7",1988,8.5,"SpGFS",5.59,0.69
"8",1989,8.5,"SpGFS",7.14,0.75
"9",1990,8.5,"SpGFS",3.34,0.32
"10",1991,8.5,"SpGFS",3.37,0.39
"11",1992,8.5,"SpGFS",2.14,0.19
"12",1993,8.5,"SpGFS",2.49,0.21
"13",1994,8.5,"SpGFS",3.98,0.33
"14",1995,8.5,"SpGFS",4.58,0.44
"15",1996,8.5,"SpGFS",6.54,0.59
"16",1997,8.5,"SpGFS",7.27,0.78
"17",1998,8.5,"SpGFS",3.36,0.28
"18",1999,8.5,"SpGFS",3.35,0.25
"19",2000,8.5,"SpGFS",3.01,0.43
"20",2001,8.5,"SpGFS",1.73,0.29
"21",2002,8.5,"SpGFS",1.91,0.23
"22",2003,8.5,"SpGFS",2.61,0.27
"23",2004,8.5,"SpGFS",3.94,0.4
"24",2005,8.5,"SpGFS",6.46,0.53
"25",2006,8.5,"SpGFS",5.5,0.389
"26",2007,8.5,"SpGFS",4.97,0.43
"27",2008,8.5,"SpGFS",4.93,0.46
"28",2009,8.5,"SpGFS",9.32,0.936
"29",2010,8.5,"SpGFS",8.36,0.653
"30",2011,8.5,"SpGFS",8.98,0.68
"31",2012,8.5,"SpGFS",8.44,0.748
"32",2013,8.5,"SpGFS",5.59,0.776
"33",2014,8.5,"SpGFS",3.72,0.44
"34",2015,8.5,"SpGFS",9.87,0.85
"35",2016,8.5,"SpGFS",7.67,0.65
"36",2017,8.5,"SpGFS",6.58,0.57
"37",2018,8.5,"SpGFS",6.48,0.52
"38",2019,8.5,"SpGFS",5.71,0.39
"39",2020,8.5,"SpGFS",5.44779512785519,0.467450392663708
"40",2021,8.5,"SpGFS",5.2056579895251,0.527065470701818
"41",2022,8.5,"SpGFS",9.55903511818762,0.758194230140367
"42",2023,8.5,"SpGFS",8.8476584732665,0.755392837470023
"43",1997,8.5,"bioCdSurv",5.281,2.775
"44",1998,8.5,"bioCdSurv",2.657,0.419
"45",1999,8.5,"bioCdSurv",2.714,0.444
"46",2000,8.5,"bioCdSurv",2.032,0.612
"47",2001,8.5,"bioCdSurv",2.568,0.448
"48",2002,8.5,"bioCdSurv",3.386,0.782
"49",2003,8.5,"bioCdSurv",1.612,0.285
"50",2004,8.5,"bioCdSurv",2.722,0.691
"51",2005,8.5,"bioCdSurv",6.675,1.288
"52",2006,8.5,"bioCdSurv",4.985,2.001
"53",2007,8.5,"bioCdSurv",6.924,1.432
"54",2008,8.5,"bioCdSurv",4.33,0.6
"55",2009,8.5,"bioCdSurv",7.35,0.97
"56",2010,8.5,"bioCdSurv",5.82,0.83
"57",2011,8.5,"bioCdSurv",2.97,0.38
"58",2012,8.5,"bioCdSurv",5.38,0.9
"59",2013,8.5,"bioCdSurv",12.516,2.04
