"","camp","weight","number"
"1","N90",0.0269,1.0713
"2","N91",0.0138,2.5369
"3","N92",0.1405,6.5645
"4","N93",0,0
"5","N94",0.0005,0.0389
"6","N95",0.0118,2.4802
"7","N96",0.005,0.5392
"8","N97",0.1121,9.0728
"9","N98",0.1081,15.615
"10","N99",0,0
"11","N00",0.7999,85.1678
"12","N01",0,0
"13","N02",0.0003,0.0058
"14","N03",0.0008,0.0386
"15","N04",0.0032,0.1455
"16","N05",0.0011,0.0579
"17","N06",0.3493,54.7522
"18","N07",0.009,0.2596
"19","N08",0.0034,0.2398
"20","N09",0.0435,5.7174
"21","N10",0.1202,27.5262
"22","N11",0.0755,7.9127
"23","N12",0.6858,82.6842
"24","N13",0.0313,2.6965
"25","N14",0.0214,1.5531
"26","N15",2.383,317.9137
"27","N16",0.0394,6.3873
"28","N17",1.0483,138.4922
"29","N18",0.1297,5.8626
"30","N19",0.1058,25.6782
"31","N20",2.2749,156.5088
"32","N21",0.5802,93.7675
"33","N22",0.0509,6.4382
"34","N23",7.6086,1468.4778
"35","N24",1.8636,146.4839
