"","camp","weight","number"
"1","N90",1.9305,40.24
"2","N91",1.6733,27.7022
"3","N92",1.9914,49.2133
"4","N93",2.0679,43.1855
"5","N94",1.8967,28.3351
"6","N95",1.5032,32.1438
"7","N96",2.0035,44.7781
"8","N97",2.1623,43.3847
"9","N98",1.7942,34.2907
"10","N99",1.9494,29.5772
"11","N00",1.9045,33.1066
"12","N01",2.6512,42.6618
"13","N02",2.2258,34.9465
"14","N03",1.3246,16.9932
"15","N04",2.4154,44.0692
"16","N05",3.8449,62.9223
"17","N06",2.5635,41.5044
"18","N07",3.7697,51.6447
"19","N08",2.0831,32.2635
"20","N09",3.9473,52.605
"21","N10",4.0513,72.8252
"22","N11",4.6201,68.9679
"23","N12",5.9109,82.0556
"24","N13",8.21,120.5394
"25","N14",4.753,67.5448
"26","N15",4.6162,77.8248
"27","N16",4.843,86.7389
"28","N17",6.2122,111.4938
"29","N18",5.3635,88.2946
"30","N19",5.7823,102.168
"31","N20",5.5596,97.7873
"32","N21",5.7733,95.1158
"33","N22",6.4858,97.3439
"34","N23",7.824,129.3574
"35","N24",6.8614,112.3438
