"","camp","weight","number"
"1","N90",43.4585,1717.7412
"2","N91",97.0908,4215.2542
"3","N92",34.6007,1068.801
"4","N93",22.5528,400.4408
"5","N94",29.9033,1492.0415
"6","N95",28.4983,1492.1615
"7","N96",54.5243,1263.2376
"8","N97",42.4932,1176.8841
"9","N98",47.0834,1385.3744
"10","N99",124.9023,4493.4755
"11","N00",76.2329,3027.6307
"12","N01",42.0158,1047.8322
"13","N02",51.6668,1736.3312
"14","N03",58.1313,2113.4234
"15","N04",24.7645,599.1268
"16","N05",69.9375,2564.2507
"17","N06",72.2181,4290.0794
"18","N07",27.598,768.2515
"19","N08",4.3189,53.4432
"20","N09",67.0368,3878.9496
"21","N10",89.8531,4120.6419
"22","N11",36.1708,733.1009
"23","N12",68.6538,2676.3374
"24","N13",37.4579,496.3718
"25","N14",113.8364,4061.0489
"26","N15",183.3371,7171.4649
"27","N16",114.6077,2595.5378
"28","N17",44.9802,902.8515
"29","N18",204.3275,6235.3572
"30","N19",30.2399,599.6876
"31","N20",132.71,3104.5351
"32","N21",140.4616,5526.9445
"33","N22",204.6586,3954.0459
"34","N23",97.1321,1114.847
"35","N24",54.5908,963.7131
