"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0.0140350877192982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140350877192982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0.00982456140350877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0.0589473684210526,0,0,0,0,0,0,0,0,0.0124544986215134,0,0,0,0,0,0.00584795321637427,0,0,0,0.0128654970760234,0,0,0,0,0,0,0.00874811463046757,0,0,0
"11",0,0,0,0,0,0.167017543859649,0,0,0,0,0,0,0.00584795321637427,0.00935672514619883,0,0,0.00964912280701754,0,0,0,0,0,0.0216215757205211,0,0,0,0,0.00941176470588235,0,0,0,0,0.0192982456140351,0,0
"12",0,0,0,0,0,0.0687719298245614,0,0,0,0,0,0,0.0116959064327485,0.016374269005848,0,0.00584795321637427,0,0,0,0,0,0,0.81656014147978,0.0384764751504447,0.0114035087719298,0,0,0.00941176470588235,0,0,0,0,0.00964912280701754,0,0
"13",0,0,0,0.0190058479532164,0.0196491228070175,0.0589473684210526,0,0,0,0,0.00601503759398496,0,0.0409356725146199,0,0.00584795321637427,0.251741285907142,0,0,0,0,0,0.00964912280701754,3.35602230863769,0.149461456157334,0.0292397660818713,0,0,0.041105720638771,0,0,0,0,0,0,0
"14",0,0,0,0,0.0491228070175439,0.0392982456140351,0.029935231045556,0.00701754385964912,0,0,0.0209388269924334,0.00584795321637427,0.0994152046783626,0,0.0362573099415205,0.481264357377948,0.0440991309711715,0,0.0257309941520468,0.00584795321637427,0.0229239766081871,0,2.84989127925387,0.0478855658022112,0.0116959064327485,0,0,0.0101071356377603,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0.0199568206970373,0,0,0,0.0209388269924334,0,0.0175438596491228,0.0140350877192982,0.0233918128654971,1.36334908760908,0.0192982456140351,0.0153102585440691,0.00584795321637427,0.0116959064327485,0.0175438596491228,0.155150512894258,0.430587305237307,0.0491228070175439,0.0128654970760234,0.0272108843537415,0,0.0483660130718954,0,0,0.0168067226890756,0,0,0,0
"16",0.00964912280701754,0,0,0,0.00584795321637427,0.0168421052631579,0,0,0,0,0.0418776539848668,0.0116959064327485,0.00584795321637427,0.0280701754385965,0.139181286549708,1.94750222696576,0.128520253513365,0.0714510940818905,0.0652055854907866,0,0.0937668196689587,2.57527801744799,0.0864554998652471,26.4826535527943,0.145638377971389,0,0,0,0,0,0.00840336134453781,0,0,0,0
"17",0.0154970760233918,0,0,0.00964912280701754,0,0,0,0,0.0128654970760234,0,0.0209388269924334,0.00584795321637427,0.0187134502923977,0.0429824561403509,0.526663383207939,6.72704789324333,0.837515199374019,0.672577814885368,0.0257309941520468,0,0.391931621197581,6.49460835953843,0.308934058752906,25.4895055380893,0.887008072852106,0,0,0.0215686274509804,0.0134408602150538,0.0107843137254902,0,0,0,0.00701754385964912,0
"18",0.0154970760233918,0.00964912280701754,0,0.00964912280701754,0.00584795321637427,0,0,0,0.0128654970760234,0.0087719298245614,0.146571788947034,0,0.134502923976608,0.116666666666667,1.28338852940677,21.2187035590713,1.62534625188323,1.16514745612772,0.237430529097649,0.0128654970760234,0.924227901266466,3.86341528121421,1.13494072021952,10.7669095527003,2.26587530369322,0,0,0.0243675187689318,0,0.0107843137254902,0.00862745098039216,0,0,0.0783400809716599,0
"19",0.0309941520467836,0.00584795321637427,0,0.00964912280701754,0,0.0263157894736842,0.00701754385964912,0,0.0128654970760234,0.0128654970760234,0.285070247977658,0.0116959064327485,0.444444444444444,0.295614035087719,0.922451215162786,15.9704475074812,3.21949461201234,0.814146262295941,0.182895190406212,0.00584795321637427,1.73946267847399,1.31990881300765,3.18431969770298,15.2364443175506,7.71269627296903,0,0,0.0595193512633538,0,0.1,0.0258823529411765,0.0107843137254902,0,0.0497975708502024,0.0175438596491228
"20",0.100877192982456,0.0289473684210526,0,0.0578947368421053,0.0187134502923977,0.0116959064327485,0.0649122807017544,0.0105263157894737,0.0128654970760234,0,0.290918201194032,0.0878151008921621,0.267014260400922,0.240350877192982,0.341109469381747,3.24904786939287,1.45552871138638,0.285678578383726,0.0944453515726579,0.0245614035087719,2.59414116633225,0.209101217366063,2.76933445052426,9.10287316054262,13.1035112811278,0.00921956391462684,0,0.0838868700322856,0.00932459677419355,0.0431372549019608,0.0375350140056022,0.0205882352941176,0.0140350877192982,0.065587044534413,0.00964912280701754
