"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0.030622009569378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0.0212624738784016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0.0637874216352048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0.0212624738784016,0,0,0,0,0,0,0,0,0.0128654970760234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00601503759398496,0,0.670344197104784,0,0,0,0,0.0673140757437742,0,0,0,0,0.0130718954248366,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914481828267402,0,3.59429044811091,0,0,0,0,0.474334324206658,0,0,0,0,0.0107843137254902,0.0100806451612903,0,0,0.00980392156862745,0,0,0
"14",0,0,0,0,0.0140350877192982,0,0,0,0,0,0,0,0,0,0,7.18704691958448,0,13.3078037857896,0,0,0,0,4.77639551554471,0,0,0,0,0.0632581554958753,0.0100806451612903,0.0336134453781513,0,0.00980392156862745,0,0,0
"15",0,0,0,0,0.0350877192982456,0.00584795321637427,0,0,0,0,0.0425249477568032,0,0,0,0,8.95422521180289,0.0185892959177195,25.9680251812933,0,0,0,0,13.6037926640512,0,0,0,0,0.0215686274509804,0,0.100840336134454,0,0,0,0,0
"16",0,0,0,0,0.105263157894737,1.85631223681842,0.125245316681534,0,0,0,0.0302834313758134,0.0578936894474993,0,0,0,2.14148592866192,0,21.9192625553148,0,0.0114035087719298,0,0,15.4593758170113,0,0,0,0,0,0.0235215053763441,0.176470588235294,0,0,0.00935672514619883,0,0.012280701754386
"17",0,0,0,0,0.0210526315789474,14.5932138444224,1.4674377727795,0.00964912280701754,0,0.0128654970760234,0.0739947581583308,4.40369677345189,0.00784313725490196,0.0105263157894737,0.167078004523132,0.246896903275137,0,14.1843556965638,0.012280701754386,0,0,0,14.3439542335717,0,0.0116959064327485,0,0,0.00840336134453781,0.00907258064516129,0.111496265172736,0,0.00980392156862745,0,0,0.024561403508772
"18",0,0,0.0252715121136174,0,0,21.8687389607003,44.5202225557032,0,0,0.0081140350877193,5.10545878638141,47.5744845849616,0,0.0367389060887513,7.26968019496421,0.0120300751879699,0.00740740740740741,5.65637920738927,0.219566563467492,0.519689273528152,0.114636506456565,0,7.69503703348316,0,0.0116959064327485,0,0,0.184190476190476,0,0.0395074696545285,0,0.0298548999771887,0,0,0.0516569200779727
"19",0.00998650472334683,0,0.620964310712348,0,0,12.4955641686802,55.327268590609,0,0,2.28928708148448,20.5279888737884,39.939040895514,0,2.63187794692203,56.578389598398,0.0582063664348272,4.47853511700967,0.190357715169879,1.15708465007645,8.81928230429966,1.66687601224214,0,8.47457295459793,0,0.0136910904712762,0,0,7.67829691876751,0,0,0,1.16920373701794,0,0.0327935222672065,0.0196881091617934
"20",2.72326326062055,0,6.51611377846748,0.364912280701754,0.00982456140350877,0.820065219733518,12.471650345983,0.453866554777577,0.00842105263157895,9.57812048285523,10.0123037047461,6.47766203460565,0.203340314569426,12.6643468672756,34.8411284402497,0.111989478547351,14.9924291813316,0.0858979266347687,2.72660759778309,15.5440273373114,31.3982787926919,0.00842105263157895,3.13459586348695,0.473659408073934,0.150347617088062,0.0179591836734694,0.0112244897959184,10.081047848842,0,0,0.326269147542851,13.5297398915493,0,0.0888663967611336,0.678208878017132
"21",16.8473347977824,0.07523003312477,5.98775983435611,0.567925797399482,0.0954385964912281,0.275344864056845,3.88833680583957,1.20716160106295,0,4.17819449988867,3.03874255443134,0.486832077796836,2.39753935194396,20.4956491992404,3.86813712015862,0.176405130037881,3.23169818336386,0.0830143540669857,3.17611509320934,5.33236789935936,54.996318432362,0.012280701754386,0.259845228346891,4.97576068758506,0.367259864385223,0.00897959183673469,0.0602040816326531,1.52339459714797,0,0,0.44019801047234,19.9913356341172,0.00607097731351665,0.176450742240216,1.61573997910415
