"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0.00740740740740741,0,0,0,0,0.00863697705802969,0.00842105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549019607843137,0,0,0,0,0
"3",0,0.00998650472334683,0,0,0.264213057897268,0,0,0,0.0790181913838807,0.0255263157894737,0.0522594364699628,0.17786700015418,0.0375844776488944,0,0,0,0,0,0,0,0,0.016140350877193,0,0.0116959064327485,0.0438277511961722,0.00839002267573696,0,0,0.0100806451612903,0.0519470018560376,0,0,0,0.0276923076923077,0
"4",0,0.0199730094466937,0,0.047953216374269,0.517800190238668,0.0414743930533404,0.0547257031467558,0.0392202729044834,0.0861598440545809,0.101254245292498,0.129451659451659,0.250599732197023,0.121264209850018,0,0.010207336523126,0.0596181712499985,0,0,0,0.0114035087719298,0.00842105263157895,0.00998650472334683,0,0.0116959064327485,0.0178172704488494,0.00816326530612245,0,0,0.0272177419354839,0.0653688513831024,0,0.143911513323278,0.0095906432748538,0.670236230142614,0.0095906432748538
"5",0.00998650472334683,0.106965944272446,0.0426900584795322,0.0989068825910931,1.30113235800537,0.0195771479982006,0.0372382681222252,0.52481510533013,0.408980920759458,0.543974050062206,0.467165970965893,1.64765102274043,0.863072361094559,0,0.489848743000207,0.23421783530545,0.143873263514284,0.0418421052631579,0,0.0221121431028552,0.0898849014378516,0.0405796380891913,0,0.25374269005848,0.0424850003797372,0.0795918367346939,0.0112244897959184,0.0159663865546218,0.080684358007806,0.0494603843473498,0,0.453342311283488,0.0489407530893599,1.61170265407108,0
"6",0,0.887475175435943,0.154093567251462,0.23482733984282,4.42958839430528,0.808900819495785,0.274293985425886,3.1437120719814,4.12886162119076,2.66061287352907,0.640882576872982,7.47127695132887,4.2697565196773,0.0585695006747638,2.49826959181185,0.64513929582879,0.477545303571244,0.33280701754386,0.035906432748538,0.843477915543103,1.42067008496221,0.0665228738189456,0.195994121809177,1.93417049199253,0.0128654970760234,0.0687074829931973,0.166210884353741,0.915864777283462,1.65510587384125,0.222816833036768,0.439244642737216,0.963698197227609,0.558159604967754,3.14204100171968,0.0208187134502924
"7",0.34395280688958,1.73208820457724,0.295854833161335,3.20073312174057,13.5980311244674,4.53516306226092,0.108233472915887,1.17348218785953,21.2555802156845,11.725584947366,1.54998340757252,7.50568088725692,25.6092704552527,0.211138895504221,3.05904755098662,2.09683859022811,3.19754262974133,5.62985030733918,0.056140350877193,4.91491727033344,4.65106868935735,0.512053316060821,0.878426887418755,9.8869549318014,2.35843412980564,0.464308390022676,1.45514348268043,13.2136514602075,11.9913589577442,0.476148402355171,0.0523529411764706,1.55343108525461,0.473366787944093,5.1743097318851,0.0783625730994152
"8",1.04715667684326,0.408585858585859,0.269298245614035,15.3440674455914,4.93737026122804,9.09104471879655,0.297078622223816,0.311557493389449,12.8075277727083,20.0086428166693,3.19805950815313,1.49188767051885,55.5652732049749,0.790454831197159,4.80308593578063,13.3057993588018,7.07550203093801,24.0200055409907,0.943154306677011,10.728101841248,5.47524091637153,0.567045430697348,2.25465293484942,3.23754165825183,7.78357424566191,1.35245869776482,4.83723160528579,19.7176990792551,31.1120113268235,3.90587805241815,0.416017831969389,2.75161415516433,0.739115613437052,5.21431124409855,0.0760233918128655
"9",3.99493893001656,0.147368421052632,0.204385964912281,6.53106090829196,2.78057878585615,153.076899607183,2.3992041142881,0.211876300921796,5.8828329675924,88.8296059578602,8.74666342272569,1.70540639597466,50.5921177436216,2.15619839743581,6.22122721244214,152.595822936035,11.7085876992084,27.4270431356567,1.02512473747896,10.8188351758391,3.3590340540829,1.96474336064036,123.588458687751,1.52004934927591,13.8042188899502,1.59100716891311,4.36625232621784,9.1015847566233,43.1076363240715,133.880948183897,2.58574059235615,3.78349640296948,2.54802177190201,2.86270027274435,0.174658869395712
"10",18.3309512469149,0.200292397660819,0.105263157894737,2.74967987213834,5.93514329325794,414.129115881001,5.61706136694775,0.533545256947606,15.804972667634,189.393026336666,18.1441874267167,8.91185087595515,80.0168271924576,2.56467337475527,41.4283343335555,128.564629460068,18.9974287225861,85.908151585107,0.140659088823061,6.82619822448224,2.40925783740168,4.40002963747687,780.53820124397,12.8920663719357,10.0656327198759,1.74369938451571,5.59193369885268,24.1573981785526,32.6732114579635,612.070682877879,2.43017593688822,8.11865796943135,1.9162004371886,0.87413825670724,0.564763406793303
"11",18.7149670858695,0.907519517914923,0.0701754385964912,0.869462705736745,6.18402516253907,107.960860504478,3.06180093829285,0.996424759366795,10.5183455611628,116.593286718224,7.98957202802222,8.31945442340865,50.2318445508923,11.4275591737299,47.5606841491031,85.8878778317174,2.89702380713234,38.0821652042759,0.186682480712709,2.28995481149078,1.88595340602372,5.09189579636101,282.430574172305,47.0744285675522,4.28606402400975,0.808396501457726,3.52410235358511,15.0462792323275,11.5363084391507,103.497684350877,2.11950824497485,10.0042437567732,0.176946409100931,0.639585899182859,0.483558457908268
"12",4.47605175018263,2.23299106480245,0.00584795321637427,1.02115131674615,10.7148052282868,9.56232917315353,2.25460371466809,0.641117290088962,6.69411530805147,28.5173755466536,8.7756365590122,9.57479315252894,22.2969804070164,6.50023167591928,15.2416489679019,335.107794885829,2.58117755405288,2.27456589324446,5.78096786281224,1.26599013658124,1.86111588412805,2.29185351064709,41.009622035116,110.830459830306,1.15677086474824,0.612244897959184,2.1163472515443,3.91302105263556,4.96435058178034,68.1165082375455,1.23879826163511,20.4079755058239,0.0482456140350877,1.43430652504262,0.539312857407172
"13",0.299502901257287,1.66508445394366,0.0187134502923977,1.11918541131641,7.8568960871924,8.20029977868576,0.846941441498126,0.644703892215259,1.57663330339284,11.1574994333375,10.9510052741215,13.5980084243057,18.4583506519,0.452511910406647,0.977713049524042,421.886678666019,9.72757385308141,2.67599202938772,65.7238752003052,0.156497028096414,1.02914930259205,0.647705890609291,13.2547553629584,87.6554508368879,0.953247429464666,0.373754724111867,2.85743341934475,5.63494216292911,2.54174946332041,12.7889454500373,6.05882480586402,21.2228989814075,0.134917631009096,1.42432489626791,0.268754581984262
"14",0,0.726196066727504,0.0339181286549708,0.549371625380139,0.839381120047439,23.1371000724583,0.274530569376987,0.484951771874242,0.0802043583811087,3.82724016227911,2.75897458701091,5.21095034586492,25.6032322638206,0.144996803288927,6.71241809730697,217.717633947468,66.062178784348,9.70682192197359,195.487954523304,1.55981613250755,0.700297344373426,1.04539086817911,3.21562911161769,26.3583240865707,5.6989704926065,0.457376858455548,0.632981859410431,25.831766152021,3.62553610078483,20.719102968008,53.2511343657341,6.48670514706361,0.0823093898267681,0.488466337737206,0.64569234191769
"15",0.0366640875693507,0.333620120913582,0.0275214998280014,0.201426802051524,0.614004401949319,40.32820120522,0.568732298496585,0.414489776313078,0.0743564051647344,5.18264390504914,9.9536891446494,2.23009023538009,1.66858817215825,1.93436605286064,52.3061844197335,44.9327452965066,129.047683022458,24.9875303651885,230.920567460178,10.8560812148786,5.78587117369633,5.16362625508534,13.698992548904,35.5639444809598,24.4186064731523,0.43270326004798,0.933479396356244,8.91398392265041,9.22990840869171,27.4030523647004,69.7022109040089,3.61359611180687,1.30449302341973,0.602281583302254,1.52599631795131
"16",0.472320252522017,0.399422994826431,0.635536214246642,0.0622998544395924,2.9565495579879,23.0351463339801,5.50548164854701,0.941024460550179,0.278820239003305,6.48622233513654,15.5258718610747,2.27476225610756,0.606131080230998,9.69661118665502,117.726723825338,22.1771844358567,81.8678617980502,25.6850497197781,123.656782401115,13.7497335094925,12.7150522885101,9.08334339567405,27.8138082860875,25.4420377975575,61.2412267633828,0.75498488040829,2.01188475637296,1.99837164739917,8.44957365510318,12.9258154574414,50.2476619875832,7.43484468530857,2.8334056151162,1.10040320975457,5.45243565271871
"17",1.05861865095338,0.735104261773049,1.73532175946755,0.674091478696742,4.76385199368458,8.22509181420532,11.9053725047709,1.15996126147077,0.334960589880498,6.51076009593046,4.31043651567784,4.26883251862234,0.592895278869322,10.7243177237142,83.7469359043324,23.5768177541981,48.3199866799897,14.1734915755719,39.5203200915591,12.3725403853093,18.9800072473293,5.85409259088461,18.0700535182789,8.52746576938268,66.7103451395522,2.15031733229069,1.6422252110314,1.21239259920839,3.64293629312486,4.12947557476999,15.7084361193371,6.79825732073245,3.49512251511792,1.99410319535385,16.1449664215589
"18",1.06075196323598,0.787988099462716,1.1950367702981,12.2478647968621,2.28431593395151,3.69771723693369,12.4379416765079,1.96787438470483,0.0456140350877193,3.71309141028917,0.52533475733583,1.99956625247447,0.671524966261808,4.0907498363516,40.6764442641402,20.0396449681572,41.1011242917876,45.2385597279653,43.4054936373452,15.6355146970154,19.8394835785331,3.00732265060433,9.09254860059708,3.77162344579735,33.545123662062,2.65766338274581,0.496973649229807,0.164424004915825,4.84204470266648,2.72060904132016,6.35608569016808,1.80286071406141,2.42205904790992,1.90354363425696,10.3420868529837
"19",0.344034141633974,2.58495537610027,0.381535104708371,32.8737603343655,0.968066377050431,8.11338761044603,20.2853014323144,1.04355525812544,0.0222222222222222,2.30847149276494,0.206177933830818,1.73765362479713,0.61371610845295,4.62310886077357,28.9099164244381,41.2619557301576,23.8500642814862,43.5125547551177,49.0288632590511,14.7542041854569,19.3067920336065,1.90827373198004,8.53852336748562,4.60510908005421,18.0406208568884,1.85686393460256,0.220020804959486,0.282865219833164,2.77892523474762,3.15436453078049,5.6519237035955,2.00821486754939,1.40868174836924,0.924892786713311,4.89934939444771
"20",0.62008006203776,9.0557332347905,0.518559605882146,23.9962318674612,0.150277902081198,5.75497973033179,24.9429497894254,2.2316860887282,0.0362676603011955,1.8526892568018,0.228019519388618,4.80561359824937,0.325904791019174,7.85221979296037,30.7547368395707,68.429636984333,6.89081124942075,46.5386747206648,55.4528117482478,12.5356248857968,23.0810901294878,2.79255562235714,7.19279555527005,3.86707821456658,9.3631701467761,0.743199320386431,0.531505981703026,0.173468794822752,0.96620492197853,5.64940019714678,3.27556905959677,0.930203372150047,0.601295414998547,0.664206708762861,2.43172843823899
"21",0.690806198835339,7.5927265523242,1.79871769551921,12.5182474436346,0.22090137240793,2.92337094101771,17.1116936840726,2.47697485834628,0,2.36611169311169,1.18760902792888,2.2992299669443,0.338011695906432,3.26152604461464,22.0571217981174,87.8328100717964,10.3497151696076,37.0351833355109,26.1803843401684,8.09127309199878,21.0180675472921,2.32675602174788,4.05999658585315,3.76565545253817,9.44178579130639,0.413734867293158,1.14437077484282,0.305825144175317,0.39996868902442,7.26538525117031,2.33882912823625,1.42361739022903,2.46250096867694,1.97750832183035,2.23453852862612
"22",2.5052351989346,4.1951371869763,2.44457142241674,7.24080759832482,0.200839750661894,3.54139501887887,2.93962893603041,2.51904714860514,0.109962221187186,1.47240128943183,0.342349298994968,1.32855447616126,0.298245614035088,0.476370950329063,17.4209797088876,58.1102574248695,13.8147533875013,27.6696768854438,17.8181355630302,5.49115651617155,13.1312002702391,1.16360651492399,0.832110446643428,7.13811618367283,6.37328111577101,0.30874133196357,0.667009123381795,0.415899988722783,0.271019679374701,3.7954726256408,2.81406268837134,6.50906770274499,2.89841936056182,3.95240046626906,1.63725227512865
"23",4.12879554612727,2.86432418838283,2.90671607208344,6.62453676093961,0.284332836644361,8.14963218784669,2.44721806646775,2.72055166832404,0.190674325932826,1.80260286848348,0.971432531383968,0.498419976834893,0.063916486925607,0.334728762077508,26.1979138875614,42.0668057684091,11.3876230616616,20.8366574271914,12.9385371512663,3.2760649765362,9.74174917178184,1.13840864745151,0.402209845203274,7.35915634179467,7.24137455416471,0.253537037037037,0.0619206880076445,0.467322743145562,0.400472721282485,1.89143030429336,1.90580056449198,7.30516825005657,3.71031183647471,14.4067616047349,2.72808611866299
"24",16.4007987097287,6.20089361679139,2.71662636333419,5.56824816973417,4.97389829738869,7.0912474980456,2.54495715221941,3.60106585329266,0.577179526988563,0.799724248303172,0.330839457060788,0.926181768261098,0.0713450292397661,0.441462741650938,14.2457424118211,43.4045390975621,9.70853969115591,19.7784229334928,24.4112623292407,3.35227051800578,5.66225142999536,1.03339936587767,0.3053464983748,5.45293434613334,3.45871413962991,1.19374424484909,0.167870026317318,0.301431757016532,0.0813482216708023,0.23610312474863,1.71276359321506,11.8836911691754,4.92423691694033,22.8348696656253,5.05330540525847
"25",33.8328961954894,10.6342043146951,4.65946384101326,10.2714766315518,6.84793784355802,6.04649452620986,4.07642622993048,4.47156163907121,0.54784108747779,1.34463457775569,0.980867135505692,0.648730454589937,0.147705118624303,0.489109822090858,5.39587686848266,48.7518848665898,10.880746422558,16.4800257661839,11.7100516788682,2.5302158084892,3.46696623334568,1.19366314232425,0.190376588548549,2.47293579730661,1.77303152652953,4.50323283117364,0.0860153315057366,0.366123337178008,0.839749586125621,0.330508379442859,1.99449105197635,20.2637072110322,5.0096608182369,23.3190372690907,5.16895961337204
"26",27.5935204741751,13.1234507799657,7.32918740069529,13.0272338728576,6.3502298631157,11.3396729218563,5.66795915785956,6.36821143640239,0.483451910243437,1.32206486081276,0.341184930827546,0.700794039445039,0.368485107291555,0.35098454196977,1.75332053625331,39.8314368372144,12.3108056418213,13.7623092041495,6.5964111100468,1.58185986282756,2.40535794426555,1.02314651243759,0.22741306461123,1.72884766343163,1.41294570795481,11.4132940500284,0.337078412456182,0.620951642486981,1.96365645844218,1.38125395317524,2.06497889188874,14.342235863346,4.73883400859883,18.2554577451594,4.7246479371392
"27",15.3369872628941,11.0935744664145,5.88480577355544,10.1857932804022,4.32071527659515,9.78077232897038,4.60697274374242,8.19423534311492,1.42303215624127,2.65797412219847,0.800455912485695,0.531403530665907,0.636838118512766,0.284051194405523,1.38146865215197,11.2086490749376,9.75447055168832,7.62376790083552,2.70001507153357,1.12066821659587,1.0479409061045,0.67312492278611,0.386610695901906,0.796243630436723,0.86356033226267,12.6314465470423,0.958790638303941,2.32136117072276,8.70526030285567,2.84402962173862,6.63725172553253,16.2424887184087,7.04971715159128,21.429862891339,6.83205964173882
"28",12.7606331304665,10.0218596703672,5.45208748229516,10.8385407711502,3.98060419900676,6.96103743040494,5.32809133152371,6.62037167763908,1.73547566179701,4.15756585299998,1.22661953390303,0.407905568275594,1.47723691808099,0.205475437226947,1.71759569427986,5.12856668227516,4.47332169847844,5.49390897384623,1.60343769081771,0.782807961722363,0.669699915683673,0.438970435395625,0.347394919985265,0.607401251217749,0.54008882228244,8.81621484365259,1.03144679330093,6.74624539826745,17.354146913785,7.42890412886369,13.1343541922793,23.2196448237369,9.47583452350828,18.2325217255782,13.0974083783194
"29",10.3671984558246,8.80198769819765,4.79946023551889,8.83872060521253,3.27386757134437,5.55352448013476,5.39437020063649,3.40496745486688,1.02022033849958,4.75558010616633,1.32423483227428,0.779163813207534,1.39325709928683,0.454421109593759,1.4801251487512,3.57814205607843,2.37410433259061,4.20906875063385,0.740858655350017,0.549030243016312,0.710466649339531,0.368102436497014,0.58446058042878,0.499250736185424,0.279153669467617,5.03353654243272,0.890082418986864,12.0593774612996,15.5047520025475,8.67659578068563,12.3518039574287,24.603326794376,8.67202778405393,18.2874467474259,14.1095788216182
"30",10.2338069319069,6.42105628074345,5.78340644712041,6.65929805078395,2.30793474112629,3.88748920504198,5.95579335283423,2.61636307268526,0.763383133691093,5.35173063850124,1.52244349802568,0.752259125460348,1.16289913342041,0.503804474047427,2.61156847950795,3.57558557136276,1.51055066328499,4.04916994028487,0.717983950382735,0.274401868196923,0.748423152344229,0.35061570336003,0.458485510329808,0.44593207995268,0.307744701568428,3.35696460628269,1.32853665030838,15.3405989020285,11.4756389414105,4.9111879113191,10.3982734899959,11.5728421660151,8.80098128317353,12.2163143670277,17.3262777356882
"31",8.20816342684999,3.59467437296918,4.50247800913231,4.22889268235537,0.952527037890882,2.50507311544871,6.01586714157178,1.89734099496847,0.488409067478798,6.0804727996133,1.20039583038656,0.850336185791321,0.642847164211149,0.252092711342519,2.57007896875542,3.3839981545458,0.77204421940497,3.4056360986146,1.06558726472175,0.233173026475148,0.505154320999658,0.451517248070608,0.853844167282511,0.368721943023468,0.316519433046968,2.35980327801291,1.9281999690958,16.3866250976544,6.89410765395698,3.2580004792418,6.65775917942203,6.23007526467931,6.76675437612584,7.7151262172681,12.676426101493
"32",3.78335811132347,1.79047346311863,4.11931693088215,2.55521117575448,0.553989931348731,2.1474065199334,3.54933621690198,1.21967972055287,0.49942012332912,3.43770878529654,1.53086649180442,1.03830091837631,0.819702539847731,0.190465525365481,5.32940858365084,3.62593499240732,0.452106475100891,2.45885705300351,0.783261255389933,0.239036410758983,0.374536212406193,0.525173805255918,1.64392404883366,0.303358255949988,0.474894042800974,1.76918151027878,2.58632485014178,10.5132961945765,4.44252360087064,2.76455573096871,4.56585431339685,2.45952787570568,3.67479084890515,4.76939531508459,4.19299038462538
"33",1.96469457502374,1.31875844480847,2.41089273098984,1.1882067107605,0.189980447515476,1.40848296040642,1.22695778446556,1.05956129787125,0.254848871532762,2.0061074186184,1.4096080076618,1.09155484101572,0.793232453333491,0.319453783681566,4.30935267538822,3.94270376921845,0.304481618903472,2.41242807518566,0.284854316026042,0.0694274009444288,0.142440800990655,0.470670627252214,2.16521724954639,0.375956450364249,0.649825851047996,1.05015975312431,2.45829599600181,6.33083197921712,2.11049674101195,2.26135602267216,4.37812378669889,1.00992700102992,1.83632159148238,2.5911469576474,1.68199456371702
"34",0.743600487855442,0.659285318277721,1.67712288482876,0.647410662098289,0.0960623781676414,1.21823085226498,0.514786065639385,0.609175955989385,0.140446215461352,1.56969436089065,1.32651788402051,0.896304883174405,0.87194834072238,0.221110243984446,2.98915803393034,2.63642561835801,0.290662757316952,1.14136549804477,0.147956965645534,0.0972355130249867,0.119957321696702,0.454244992664728,1.37591112502499,0.85107479493241,1.42039104474136,0.873879926675004,1.61020466154677,4.31997244525429,1.63935355968232,2.11458809709567,2.74964032429285,0.366625910037674,0.978390025434162,2.09141756228266,0.93466956935366
