"","camp","weight","number"
"1","N90",4.9707,1171.2128
"2","N91",4.5615,1010.3251
"3","N92",2.669,629.2179
"4","N93",4.8044,936.2171
"5","N94",5.3626,1499.3886
"6","N95",6.1738,1802.578
"7","N96",5.4371,1505.612
"8","N97",5.4465,1207.281
"9","N98",1.8815,280.448
"10","N99",2.298,339.4739
"11","N00",0.5533,94.4057
"12","N01",2.4622,464.1516
"13","N02",2.3837,439.6989
"14","N03",0.1976,34.6757
"15","N04",5.0326,1145.4511
"16","N05",6.771,1596.2825
"17","N06",5.7436,981.6765
"18","N07",3.7763,702.424
"19","N08",1.123,164.9168
"20","N09",2.8094,535.3748
"21","N10",2.7304,371.642
"22","N11",2.5687,366.4821
"23","N12",10.0334,1553.4143
"24","N13",5.0911,778.6303
"25","N14",2.6738,466.7615
"26","N15",5.2306,957.298
"27","N16",3.2339,585.4553
"28","N17",2.431,386.7782
"29","N18",2.8434,381.6653
"30","N19",1.8692,257.7155
"31","N20",1.1958,142.7305
"32","N21",1.7866,298.8614
"33","N22",3.7596,606.8292
"34","N23",2.5924,535.1689
"35","N24",3.8549,690.5443
