"","camp","weight","number"
"1","N90",3.0706,27.6593
"2","N91",1.2223,10.2721
"3","N92",1.391,18.4224
"4","N93",1.4514,14.9229
"5","N94",1.0207,7.8553
"6","N95",1.0306,11.1474
"7","N96",1.6383,21.0764
"8","N97",1.7679,18.8412
"9","N98",1.4264,14.4273
"10","N99",1.6201,15.8959
"11","N00",1.758,18.9945
"12","N01",1.4504,12.8351
"13","N02",1.2668,12.1433
"14","N03",0.8215,7.174
"15","N04",1.0827,8.4507
"16","N05",1.2885,9.7574
"17","N06",1.0245,6.4285
"18","N07",1.131,6.8381
"19","N08",0.6754,4.3211
"20","N09",0.7843,4.0379
"21","N10",0.8937,10.158
"22","N11",1.8304,17.4844
"23","N12",1.3777,9.0382
"24","N13",2.5184,15.8905
"25","N14",1.3489,9.0587
"26","N15",1.8519,30.704
"27","N16",2.7225,43.1794
"28","N17",3.7499,50.1828
"29","N18",3.4506,41.5669
"30","N19",3.9288,46.0725
"31","N20",3.7865,50.9424
"32","N21",3.3545,43.5703
"33","N22",5.7864,84.329
"34","N23",6.9362,116.712
"35","N24",7.9671,118.2619
