"","camp","weight","number"
"1","N90",0.2601,0.2524
"2","N91",0.0436,0.0482
"3","N92",0.2782,0.2655
"4","N93",0.0525,0.1192
"5","N94",0.2162,0.2222
"6","N95",0.1566,0.2676
"7","N96",0.3779,0.5287
"8","N97",0.1632,0.2657
"9","N98",0.1981,0.2788
"10","N99",0.3065,0.566
"11","N00",0.4876,0.895
"12","N01",0.5393,0.7414
"13","N02",0.3012,0.362
"14","N03",0.1689,0.2064
"15","N04",0.2958,0.3521
"16","N05",0.4829,0.7402
"17","N06",0.2538,0.2709
"18","N07",0.3444,0.5826
"19","N08",0.1683,0.1704
"20","N09",0.3311,0.3986
"21","N10",0.2992,0.3873
"22","N11",0.3951,0.4239
"23","N12",0.1603,0.2395
"24","N13",0.531,0.8863
"25","N14",0.3347,0.4847
"26","N15",0.2553,0.3944
"27","N16",0.3746,0.4162
"28","N17",0.5702,0.69
"29","N18",0.5182,0.553
"30","N19",0.5188,0.7951
"31","N20",0.4945,0.5478
"32","N21",0.1733,0.1939
"33","N22",0.3035,0.3628
"34","N23",0.8457,1.1671
"35","N24",0.7882,1.35
