"","camp","weight","number"
"1","N90",3.3365,85.9094
"2","N91",3.3731,167.1539
"3","N92",2.1282,59.2082
"4","N93",2.4819,79.4051
"5","N94",3.9901,246.2067
"6","N95",4.5717,80.8128
"7","N96",6.5363,345.1586
"8","N97",7.2588,420.5681
"9","N98",3.3533,75.6936
"10","N99",3.3703,95.6643
"11","N00",3.0144,66.8726
"12","N01",1.7264,42.0421
"13","N02",1.9099,57.2494
"14","N03",2.6062,92.8415
"15","N04",3.946,177.5411
"16","N05",6.4553,344.8108
"17","N06",5.506,224.1528
"18","N07",5.0024,158.5009
"19","N08",4.9365,99.5314
"20","N09",9.3131,559.0865
"21","N10",8.3902,201.3215
"22","N11",8.942,241.7303
"23","N12",8.4335,297.4422
"24","N13",5.5872,136.8726
"25","N14",3.7161,78.1177
"26","N15",9.8708,316.2804
"27","N16",7.676,211.5569
"28","N17",6.59,159.0198
"29","N18",6.4884,301.0662
"30","N19",5.7612,166.4226
"31","N20",5.4478,131.1966
"32","N21",5.2298,142.9033
"33","N22",9.5364,244.6037
"34","N23",8.8456,198.8985
"35","N24",5.8167,171.0008
