"","camp","weight","number"
"1","N90",0.1842,1.2471
"2","N91",0.0786,3.6773
"3","N92",0.4314,3.1432
"4","N93",0.2848,1.7216
"5","N94",0.0688,1.1204
"6","N95",0.1552,2.0238
"7","N96",0.4348,5.2633
"8","N97",0.0767,0.2985
"9","N98",0.1876,0.9697
"10","N99",0.2125,0.7919
"11","N00",0.3186,1.8321
"12","N01",0.2275,1.3729
"13","N02",0.1646,0.7833
"14","N03",0.118,0.5756
"15","N04",0.5893,3.9053
"16","N05",0.5512,2.9464
"17","N06",0.4745,2.7078
"18","N07",0.7244,3.9297
"19","N08",0.3414,1.4685
"20","N09",0.231,1.0222
"21","N10",0.4151,2.0847
"22","N11",0.2288,1.0608
"23","N12",0.1739,0.7324
"24","N13",0.104,0.4847
"25","N14",0.0462,0.1821
"26","N15",0.2122,1.3221
"27","N16",0.1148,0.6819
"28","N17",0.1399,0.6734
"29","N18",0.0718,0.4005
"30","N19",0.0713,0.4503
"31","N20",0.0344,0.1261
"32","N21",0.0402,0.1876
"33","N22",0.0574,0.3209
"34","N23",0.086,0.6548
"35","N24",0.663,6.2929
