"","camp","weight","number"
"1","N90",2.9637,15.5462
"2","N91",1.4249,5.41
"3","N92",0.5223,7.0706
"4","N93",0.946,3.3073
"5","N94",2.121,8.4643
"6","N95",3.3133,9.7327
"7","N96",2.3806,10.445
"8","N97",1.4337,3.708
"9","N98",0.9532,4.8426
"10","N99",1.684,5.6834
"11","N00",6.734,44.1988
"12","N01",2.7102,10.0471
"13","N02",3.1749,10.022
"14","N03",2.3936,8.1298
"15","N04",2.5434,8.0092
"16","N05",6.0099,19.9612
"17","N06",3.2419,10.9391
"18","N07",4.6973,15.9308
"19","N08",3.9509,11.2926
"20","N09",2.9385,8.3937
"21","N10",7.5354,19.7998
"22","N11",2.7649,6.4575
"23","N12",2.0934,5.5967
"24","N13",2.8305,6.7734
"25","N14",5.6369,12.5975
"26","N15",0.9678,3.0647
"27","N16",1.9088,4.8378
"28","N17",1.645,4.031
"29","N18",0.5697,1.8101
"30","N19",0.9061,2.2154
"31","N20",1.2788,3.8418
"32","N21",1.9722,4.8032
"33","N22",2.2355,5.0718
"34","N23",2.8046,9.16
"35","N24",4.2396,11.6352
