"","camp","weight","number"
"1","N90",0.0388,0.2629
"2","N91",0.001,0.0112
"3","N92",0.0013,0.0523
"4","N93",0.0105,0.7167
"5","N94",0,0
"6","N95",0.0009,0.0086
"7","N96",0.0595,0.9108
"8","N97",0.0026,0.0094
"9","N98",0.3324,3.9553
"10","N99",0.1345,0.7805
"11","N00",0.0036,0.0234
"12","N01",0,0
"13","N02",0.0054,0.0511
"14","N03",0.0188,0.1202
"15","N04",0.0273,0.233
"16","N05",0.3441,2.3906
"17","N06",0.0716,0.3813
"18","N07",0.0009,0.007
"19","N08",0.0082,0.0842
"20","N09",0.0315,0.1329
"21","N10",0.0018,0.0083
"22","N11",0.0063,0.0345
"23","N12",0,0
"24","N13",0,0
"25","N14",0.0173,0.1339
"26","N15",0.1183,0.7412
"27","N16",0.0361,0.2652
"28","N17",0.0154,0.0906
"29","N18",0.0107,0.0585
"30","N19",0.1185,0.5443
"31","N20",0,0
"32","N21",0.0133,0.0842
"33","N22",0.0048,0.0175
"34","N23",0.2684,3.0607
"35","N24",2.0284,17.6696
