"","camp","weight","number"
"1","N90",0.1585,0.1445
"2","N91",0.2323,0.2412
"3","N92",0.2209,1.4216
"4","N93",0.1792,0.7944
"5","N94",0.0125,0.0196
"6","N95",0.0919,0.6055
"7","N96",0.1753,0.7627
"8","N97",0.0289,0.0307
"9","N98",0.0318,0.0561
"10","N99",0.0181,0.0292
"11","N00",0.0337,0.0468
"12","N01",0.0208,0.0351
"13","N02",0.0447,0.1287
"14","N03",0.0095,0.014
"15","N04",0.1561,0.524
"16","N05",0.0934,0.1813
"17","N06",0.1506,0.417
"18","N07",0.1338,0.3789
"19","N08",0.0254,0.0632
"20","N09",0.0866,0.1836
"21","N10",0.1659,0.338
"22","N11",0.4274,1.0318
"23","N12",0.1072,0.269
"24","N13",0.2397,0.5778
"25","N14",0.1043,0.2105
"26","N15",0.2149,0.4684
"27","N16",0.7505,2.229
"28","N17",0.0538,0.1333
"29","N18",0.2076,0.6837
"30","N19",0.1906,0.4869
"31","N20",0.0317,0.1053
"32","N21",0.2449,0.6921
"33","N22",0.5059,1.0624
"34","N23",0.8408,2.573
"35","N24",0.6994,2.0913
