"","camp","weight","number"
"1","N90",0.0747,1.3138
"2","N91",0.0611,0.8777
"3","N92",0.0915,2.2562
"4","N93",0.3012,2.9044
"5","N94",0.321,1.2638
"6","N95",0.0359,0.1597
"7","N96",0.2033,3.188
"8","N97",0.073,0.9166
"9","N98",0.2219,4.5169
"10","N99",0.092,1.6192
"11","N00",0.25,2.2395
"12","N01",0.4247,7.9788
"13","N02",0.4131,7.5506
"14","N03",0.2078,1.612
"15","N04",0.2502,2.2202
"16","N05",0.1763,0.6968
"17","N06",0.248,2.0608
"18","N07",0.3377,4.2928
"19","N08",0.4216,1.9225
"20","N09",0.4772,6.0414
"21","N10",0.7981,11.5655
"22","N11",0.9781,4.8427
"23","N12",0.6969,2.6993
"24","N13",0.9386,11.1784
"25","N14",0.4564,1.923
"26","N15",0.4633,4.9112
"27","N16",0.4538,1.7056
"28","N17",0.1973,4.0443
"29","N18",0.2636,2.9688
"30","N19",0.2373,1.01
"31","N20",0.2065,0.8011
"32","N21",0.3811,5.448
"33","N22",0.4912,5.8015
"34","N23",0.3484,3.5377
"35","N24",0.2306,4.4208
