"","camp","weight","number"
"1","N90",1.3866,0.8751
"2","N91",0.6627,0.8547
"3","N92",0.4875,0.4526
"4","N93",0.5342,0.78
"5","N94",0.5088,0.624
"6","N95",0.2149,0.2982
"7","N96",0.8373,0.9201
"8","N97",1.0611,1.0624
"9","N98",1.0383,0.9669
"10","N99",1.3152,1.3426
"11","N00",2.8809,3.0061
"12","N01",2.7179,3.1314
"13","N02",1.4641,1.3014
"14","N03",1.7987,1.7009
"15","N04",2.3477,2.3152
"16","N05",2.1902,2.8259
"17","N06",2.9609,2.718
"18","N07",2.8009,3.205
"19","N08",2.1934,2.492
"20","N09",2.6689,2.8512
"21","N10",2.5426,2.177
"22","N11",2.9275,2.6315
"23","N12",3.9797,4.2696
"24","N13",7.3873,7.1582
"25","N14",4.0341,3.353
"26","N15",4.6841,4.2568
"27","N16",3.6828,3.6226
"28","N17",4.8569,5.012
"29","N18",3.3644,3.9765
"30","N19",3.9096,4.5096
"31","N20",2.9384,4.2378
"32","N21",6.9946,5.7545
"33","N22",6.2012,5.5637
"34","N23",7.3015,10.0113
"35","N24",13.4335,11.1911
