"","camp","weight","number"
"1","N90",0.4327,0.4098
"2","N91",0.1116,0.1405
"3","N92",0.3263,0.3635
"4","N93",0.2213,0.4686
"5","N94",0.5675,0.6382
"6","N95",0.3036,0.3695
"7","N96",0.3104,0.3882
"8","N97",1.1122,0.7872
"9","N98",0.473,0.5049
"10","N99",0.3819,1.0124
"11","N00",1.751,3.0737
"12","N01",1.8331,2.6976
"13","N02",0.8393,1.1061
"14","N03",0.8104,0.8833
"15","N04",0.7128,1.1848
"16","N05",1.045,1.6051
"17","N06",0.8359,0.9911
"18","N07",0.9941,1.2357
"19","N08",0.4527,0.6464
"20","N09",0.5622,0.7268
"21","N10",0.7689,0.958
"22","N11",0.3833,0.5213
"23","N12",0.6617,0.943
"24","N13",1.1335,1.3806
"25","N14",1.433,1.7725
"26","N15",1.0689,1.4264
"27","N16",1.1626,1.4787
"28","N17",1.4052,1.699
"29","N18",1.4643,1.9631
"30","N19",1.3541,2.0143
"31","N20",1.1001,1.734
"32","N21",0.3736,0.5507
"33","N22",0.906,1.114
"34","N23",0.5212,0.8877
"35","N24",2.5105,3.3524
