"","camp","weight","number"
"1","N90",0,0
"2","N91",0,0
"3","N92",0.049,0.0261
"4","N93",0.0081,0.0134
"5","N94",0,0
"6","N95",0.0036,0.0098
"7","N96",0,0
"8","N97",0,0
"9","N98",0,0
"10","N99",0.008,0.0058
"11","N00",0,0
"12","N01",0,0
"13","N02",0,0
"14","N03",0.08,0.014
"15","N04",0,0
"16","N05",0,0
"17","N06",0.0549,0.01
"18","N07",0,0
"19","N08",0,0
"20","N09",0,0
"21","N10",0,0
"22","N11",0,0
"23","N12",0,0
"24","N13",0,0
"25","N14",0.0751,0.0117
"26","N15",0,0
"27","N16",0,0
"28","N17",0,0
"29","N18",0,0
"30","N19",0.0336,0.0058
"31","N20",0,0
"32","N21",0,0
"33","N22",0,0
"34","N23",0,0
"35","N24",0,0
