"","camp","weight","number"
"1","N90",0.0113,0.1585
"2","N91",0.0086,0.0999
"3","N92",0.1032,1.2802
"4","N93",0.036,0.3716
"5","N94",0.0132,0.2186
"6","N95",0.0142,0.1857
"7","N96",0.0326,0.3462
"8","N97",0.0027,0.057
"9","N98",0.1084,1.0844
"10","N99",0.0045,0.0608
"11","N00",0.0366,0.4567
"12","N01",0.0061,0.083
"13","N02",0.0044,0.0409
"14","N03",0.0285,0.3667
"15","N04",0.0102,0.1857
"16","N05",0.0241,0.6209
"17","N06",0.1318,1.4232
"18","N07",0.0009,0.0175
"19","N08",0.0041,0.0671
"20","N09",0.0106,0.1209
"21","N10",0.1979,2.4692
"22","N11",0.1946,1.7071
"23","N12",0.084,1.3819
"24","N13",0.058,0.8822
"25","N14",0.1643,3.3738
"26","N15",2.3762,52.8966
"27","N16",0.4523,7.6911
"28","N17",0.1571,3.1691
"29","N18",0.055,0.8414
"30","N19",0.0036,0.0669
"31","N20",0.8578,11.7227
"32","N21",0.6183,14.7755
"33","N22",0.6818,15.7254
"34","N23",4.6084,94.3956
"35","N24",2.6282,38.6202
