"","camp","weight","number"
"1","N90",0,0
"2","N91",0.0044,0.0199
"3","N92",0,0
"4","N93",0,0
"5","N94",0.0201,0.6262
"6","N95",0.0065,0.1138
"7","N96",0.0016,0.0539
"8","N97",0.0034,0.079
"9","N98",0.01,0.0348
"10","N99",0.0006,0.0155
"11","N00",0.0053,0.1208
"12","N01",0.0069,0.014
"13","N02",0,0
"14","N03",0.0004,0.0096
"15","N04",0,0
"16","N05",0.0042,0.0734
"17","N06",0.0279,0.113
"18","N07",0.0127,0.0565
"19","N08",0,0
"20","N09",0.0793,1.0476
"21","N10",0.0005,0.0269
"22","N11",0.0182,0.1797
"23","N12",0.0044,0.1441
"24","N13",0,0
"25","N14",0.0085,0.2388
"26","N15",0.044,1.6369
"27","N16",0.0602,1.3737
"28","N17",1.1702,11.8406
"29","N18",1.423,8.9275
"30","N19",0.0107,0.0579
"31","N20",0.0562,0.6606
"32","N21",0.0002,0.011
"33","N22",0.1109,2.6591
"34","N23",0.0165,0.341
"35","N24",0.0089,0.0409
