"","camp","weight","number"
"1","N90",0.2035,1.3716
"2","N91",0.3996,1.3493
"3","N92",1.3421,20.8185
"4","N93",0.475,2.2396
"5","N94",0.1271,0.9348
"6","N95",0.1751,1.3603
"7","N96",5.2419,54.1314
"8","N97",8.5739,47.7292
"9","N98",1.0241,5.7588
"10","N99",1.2659,7.5855
"11","N00",2.5374,29.9252
"12","N01",0.6581,3.1519
"13","N02",1.3408,15.8661
"14","N03",0.8136,5.7944
"15","N04",1.1044,9.5139
"16","N05",2.8925,55.7994
"17","N06",6.6523,125.1047
"18","N07",0.4476,4.1507
"19","N08",0.1697,0.6538
"20","N09",1.7358,22.0341
"21","N10",3.8599,49.9761
"22","N11",5.6156,106.9159
"23","N12",1.1352,11.6784
"24","N13",3.1775,43.8318
"25","N14",7.7121,112.9678
"26","N15",2.0934,26.601
"27","N16",1.7633,24.4879
"28","N17",3.1929,97.2735
"29","N18",0.9023,10.3282
"30","N19",2.0827,31.6997
"31","N20",8.5307,101.8513
"32","N21",0.8505,4.3045
"33","N22",2.8458,71.5678
"34","N23",0.8553,9.1969
"35","N24",0.1748,1.3072
