"","camp","weight","number"
"1","N90",5.4373,15.5489
"2","N91",4.9017,15.5733
"3","N92",5.1828,19.333
"4","N93",4.3881,14.1663
"5","N94",4.3186,14.6315
"6","N95",2.8155,7.3379
"7","N96",4.0338,12.1619
"8","N97",4.0956,13.9285
"9","N98",3.5533,12.8759
"10","N99",3.0618,11.1168
"11","N00",4.8717,16.9844
"12","N01",6.831,23.3036
"13","N02",4.3548,14.0496
"14","N03",5.0374,12.48
"15","N04",4.5846,14.3615
"16","N05",6.5195,20.9603
"17","N06",7.558,20.2094
"18","N07",9.1436,27.6174
"19","N08",6.4585,19.1943
"20","N09",7.6751,26.4953
"21","N10",7.039,22.5575
"22","N11",6.6219,20.7228
"23","N12",9.0572,29.1957
"24","N13",22.773,93.2278
"25","N14",16.6544,60.415
"26","N15",14.0647,48.1925
"27","N16",15.334,53.2781
"28","N17",12.3726,44.4729
"29","N18",16.1138,50.5078
"30","N19",16.8656,58.7148
"31","N20",16.5862,52.5067
"32","N21",12.2648,45.079
"33","N22",13.449,48.3901
"34","N23",19.7821,72.9347
"35","N24",18.3919,67.7394
