"","camp","weight","number"
"1","N90",0.1024,0.2544
"2","N91",0.3058,0.6286
"3","N92",0.0854,0.204
"4","N93",0.0663,0.1269
"5","N94",0.1236,0.2325
"6","N95",0.1149,0.342
"7","N96",0.2132,0.5074
"8","N97",0.1822,0.2404
"9","N98",0.0743,0.1556
"10","N99",0.1125,0.2503
"11","N00",0.0311,0.0956
"12","N01",0.3553,0.8173
"13","N02",0.1604,0.3342
"14","N03",0.1,0.2112
"15","N04",0.1427,0.253
"16","N05",0.214,0.3657
"17","N06",0.287,0.6177
"18","N07",0.2963,0.5914
"19","N08",0.1358,0.3283
"20","N09",0.2048,0.3966
"21","N10",0.158,0.3042
"22","N11",0.0795,0.1702
"23","N12",0.1678,0.303
"24","N13",0.6093,1.199
"25","N14",0.3183,0.75
"26","N15",0.33,0.567
"27","N16",0.222,0.4859
"28","N17",0.3763,0.9365
"29","N18",0.2919,0.64
"30","N19",0.2105,0.4692
"31","N20",0.2144,0.4706
"32","N21",0.1393,0.2524
"33","N22",0.1726,0.3335
"34","N23",0.1934,0.3684
"35","N24",0.3857,0.6503
