"","camp","weight","number"
"1","N90",0,0
"2","N91",0,0
"3","N92",1.2252,73.604
"4","N93",0.0195,0.1865
"5","N94",0.0062,0.1647
"6","N95",0,0
"7","N96",0.0655,3.5238
"8","N97",0.0006,0.048
"9","N98",0.0276,4.3281
"10","N99",0,0.007
"11","N00",0.0017,0.1582
"12","N01",0,0
"13","N02",0.0342,4.1673
"14","N03",0.0119,0.8286
"15","N04",0.0044,0.7018
"16","N05",0.0101,0.3092
"17","N06",0.1166,1.6103
"18","N07",0.0062,0.2612
"19","N08",0.002,0.283
"20","N09",0.0091,0.4095
"21","N10",0.0007,0.0192
"22","N11",0,0
"23","N12",0,0.01
"24","N13",0.0053,0.8221
"25","N14",0.0238,3.4327
"26","N15",0.055,8.9744
"27","N16",0.0002,0.0304
"28","N17",6.0574,67.5125
"29","N18",0.0072,0.1034
"30","N19",0,0
"31","N20",0.0258,2.475
"32","N21",0.0318,0.8167
"33","N22",0.0056,0.452
"34","N23",0.0027,0.2804
"35","N24",0.0213,2.6325
