"","camp","weight","number"
"1","N90",9.6599,71.5336
"2","N91",4.9221,49.2167
"3","N92",20.2826,212.3797
"4","N93",18.0752,247.6552
"5","N94",21.6312,1066.2363
"6","N95",21.9869,296.6604
"7","N96",26.7508,246.743
"8","N97",13.9739,91.8288
"9","N98",27.9535,205.1342
"10","N99",19.8223,137.8578
"11","N00",24.2923,199.9561
"12","N01",14.8319,111.7596
"13","N02",11.2389,64.1195
"14","N03",21.6339,203.2595
"15","N04",6.783,105.9667
"16","N05",22.0105,893.2588
"17","N06",12.8324,159.065
"18","N07",7.1887,64.8911
"19","N08",2.2995,88.8411
"20","N09",15.2861,540.7831
"21","N10",6.2222,111.497
"22","N11",4.9343,97.7773
"23","N12",6.2759,349.4454
"24","N13",3.4281,71.3765
"25","N14",32.9133,599.8787
"26","N15",77.4238,1941.2633
"27","N16",26.6118,542.7633
"28","N17",34.6272,563.6853
"29","N18",41.8552,919.158
"30","N19",7.7452,147.29
"31","N20",12.9694,182.4599
"32","N21",4.0961,58.2127
"33","N22",18.2435,1348.6608
"34","N23",12.4669,416.6672
"35","N24",16.0527,298.196
