"","camp","weight","number"
"1","N90",0.9609,9.9832
"2","N91",0.8327,10.6757
"3","N92",0.4344,3.1931
"4","N93",2.4683,10.8334
"5","N94",0.725,10.7579
"6","N95",1.186,6.8736
"7","N96",0.6325,4.2418
"8","N97",2.2567,36.4433
"9","N98",1.2731,14.0241
"10","N99",2.3043,61.7514
"11","N00",2.3727,13.3605
"12","N01",2.5872,17.8028
"13","N02",1.4989,9.1362
"14","N03",2.141,12.8723
"15","N04",0.2499,1.6724
"16","N05",2.153,17.8377
"17","N06",0.8917,7.2871
"18","N07",0.3089,2.9267
"19","N08",1.154,8.1522
"20","N09",0.5715,1.954
"21","N10",0.8514,5.8469
"22","N11",0.6516,6.2981
"23","N12",1.8596,16.6927
"24","N13",0.7166,5.1462
"25","N14",0.206,1.1052
"26","N15",1.4828,43.5469
"27","N16",2.0529,14.9701
"28","N17",0.8113,5.5529
"29","N18",0.17,1.0141
"30","N19",1.5562,13.897
"31","N20",1.9571,10.4851
"32","N21",0.7203,4.2403
"33","N22",0.6294,12.1522
"34","N23",0.7346,7.59
"35","N24",0.625,6.8348
