"","camp","weight","number"
"1","N90",0.1155,2.0071
"2","N91",0.103,8.7985
"3","N92",0.334,19.6653
"4","N93",0.4045,8.7608
"5","N94",0.4679,17.4711
"6","N95",0.3476,16.0564
"7","N96",0.9839,26.8164
"8","N97",0.4955,12.6673
"9","N98",0.539,12.9594
"10","N99",0.1752,4.6084
"11","N00",0.1536,4.5853
"12","N01",0.7822,16.2912
"13","N02",0.2043,5.8174
"14","N03",0.4128,7.9209
"15","N04",0.4868,47.2581
"16","N05",1.4587,42.3036
"17","N06",0.4077,7.4733
"18","N07",0.5477,9.3856
"19","N08",0.236,4.5407
"20","N09",0.8386,85.4623
"21","N10",1.9196,47.2776
"22","N11",0.2236,3.6392
"23","N12",0.3354,6.9996
"24","N13",0.2576,4.7421
"25","N14",0.4955,9.0074
"26","N15",0.123,5.2814
"27","N16",0.5512,11.3889
"28","N17",0.5341,9.2013
"29","N18",0.1825,3.6043
"30","N19",0.1712,4.1325
"31","N20",0.2811,4.7715
"32","N21",0.2113,2.9646
"33","N22",0.0268,0.6321
"34","N23",0.1252,3.2131
"35","N24",0.0689,1.3677
