"","camp","weight","number"
"1","N90",0.3998,1.061
"2","N91",0.465,0.3795
"3","N92",0.407,0.2536
"4","N93",0.1195,0.3524
"5","N94",0.352,0.446
"6","N95",0.2912,0.6816
"7","N96",0.4785,1.1105
"8","N97",0.5485,3.9839
"9","N98",0.9484,3.035
"10","N99",0.6439,1.3472
"11","N00",0.6655,1.0087
"12","N01",0.2967,0.5311
"13","N02",0.6303,1.0706
"14","N03",0.8513,1.0744
"15","N04",0.6299,1.3768
"16","N05",0.9989,1.2459
"17","N06",0.3479,0.6956
"18","N07",0.7317,1.1688
"19","N08",0.6326,1.6666
"20","N09",0.5822,1.3238
"21","N10",0.4809,1.0581
"22","N11",0.4602,2.5764
"23","N12",0.636,4.7372
"24","N13",1.0509,2.3119
"25","N14",0.5387,0.7706
"26","N15",0.6373,1.0046
"27","N16",0.2536,0.8774
"28","N17",0.4936,1.9678
"29","N18",0.5486,0.6813
"30","N19",0.367,0.5696
"31","N20",0.2841,0.6561
"32","N21",0.5998,1.0804
"33","N22",0.4091,0.9287
"34","N23",0.594,0.8787
"35","N24",0.2836,0.5662
