"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00842105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189027897612885,0,0.0228070175438597,0.00601503759398496,0,0.0385964912280702,0,0,0.00842105263157895,0,0,0,0,0,0,0,0,0,0.0233918128654971,0
"6",0,0,0,0,0,0,0,0,0.0140350877192982,0.0081140350877193,1.66265514834559,0,0,0.00601503759398496,0,0.0570517202096149,0.00964912280701754,0.520095693779904,0.0718509085554482,0.171944293028324,0.210185653317551,0.00935672514619883,0.116510931495985,0.0273684210526316,1.0653089600458,0.0136054421768707,0,0,0,0,0,0,0,0.0798245614035088,0
"7",0,0,0,0,0,0,0,0,0.00701754385964912,0.325690382029391,5.74410120330359,0.0784384259519889,0,0.00601503759398496,0.00740740740740741,0.70528732401202,0.0069422749835121,0.405439622357643,0.0605815237394185,1.04747814502711,0.160767113863089,5.88937146379002,0.885372397505665,140.931672276364,4.28151988362515,0,0.0402721088435374,0,0,0,0.451416122004357,0,0.0184795321637427,0.365350877192982,0
"8",0.0289473684210526,0,0,0,0,0.00964912280701754,4.21721721721722,0,0.0350877192982456,0.767261757849993,8.98913839826789,0.913182330593918,4.892994898594,0.2136351140664,0.0210526315789474,2.91590432973081,0.207112253207657,0.35852810544312,0.0452248079700059,14.7861890945941,0.948480023588383,38.4521958684047,0.79832239760543,303.616460392633,14.990215164952,0.0136054421768707,0.172757475083056,0,0,0,1.13250544662309,0.00686274509803922,0,0.597604588394062,0
"9",0.334462719298246,0,0,0,0,0.00964912280701754,19.3218544108018,0,0.0421052631578947,2.59184690645724,7.8027571584689,1.55121682774398,17.3603455027275,0.381622994404463,0.0335071302004608,35.1805897525681,1.72471670848508,0.788274761213304,0.0489754432995886,8.13080653613249,5.52329898341165,27.760739925209,0.275860207012357,413.165574779823,31.3051127235338,0.0443083900226757,0.76875177978168,0,0,0,0.463055555555556,0.00686274509803922,0.0184795321637427,2.52112278429602,0
"10",1.89629385964912,0,0,0,0,0.00964912280701754,16.0231599835834,0,0,0.764346555577206,2.38199073539897,2.59832820461415,14.1325854238777,0.440750844809635,0.0556659477024281,84.7747322824119,2.63485858574937,34.2456963117182,0.0304093567251462,1.02984714037346,4.72533766899676,7.3534641010248,0.379710339556471,316.446386345663,10.9879604416462,0.0538775510204082,1.278112640405,0.0215686274509804,0,0,0.310588235294118,0.227871148459384,0.136418716097923,5.97718055662063,0
"11",31.6001096491228,0,0,0,0,0.00964912280701754,10.3374827852866,0,0,0.541031955660439,0.718972758841525,1.87893742769696,8.54843654599335,0.460627459423092,0.210747100083219,110.873476523108,1.22306647317548,94.1298559612046,0.0760233918128655,0.306206624635527,3.16113973427835,6.52753564115685,2.00985155557689,169.787124136241,1.20946100682943,0.103401360544218,0.230343300110742,0.23510569402437,0,0.00840336134453781,0.0699019607843137,0.217226890756302,1.12707877487303,4.90566433486988,0
"12",45.4895603384842,0,0,0,0.0315789473684211,0,2.88107678220398,0.00701754385964912,0,0.293904101863703,0.0830675172780436,0.217496221871539,34.4595153041927,0.292963336241085,0.399114598370725,53.8039060511218,0.276115390101269,7.97137122257461,0.316114645694964,0.140643274853801,28.437672042002,2.48708093174489,1.3492687492098,88.4592864411915,5.09604814934341,0.0179591836734694,0.00979591836734694,0.38465328089029,0,0.0168067226890756,0.00906862745098039,0.0275910364145658,4.18314832042846,0.960692253947156,0
"13",5.67621981623485,0,0,0.0192982456140351,0.0491228070175439,0,0.271815001188606,0,0,0.116425013088483,0,0,3.14793515777669,0.359075907590759,0.311405541634308,27.6853311426458,0.0781593210668949,0.00833333333333333,0.989306600366088,0.027360066833751,44.1541465380005,0.752987943225477,0.406436517326805,26.9130368308347,14.1125632857601,0.0179591836734694,0,0.7161013957986,0,0,0.00862745098039216,0.0443977591036415,3.08813163455801,0,0
"14",0.0456140350877193,0,0,0,0.0116959064327485,0,0.66418004470636,0.0140350877192982,0.0385964912280702,0.0468266253869969,0,0,0,0.153667998378785,0.281259968102073,1.69221858579156,0.131785052061047,0,1.27197095451647,0,51.8081854683956,0.860176504195572,0.0950592123347342,4.48826285981338,38.9895032971721,0.0076530612244898,0,1.20859781394379,0,0,0.0172549019607843,0.00840336134453781,0.432556176051873,0.0290582778786046,0
"15",0.0114035087719298,0,0,0,0.00584795321637427,0,0.491379971684291,0.0140350877192982,0.0900584795321637,0.0554636024450266,0,0.050472334682861,0.0152046783625731,0.221782178217822,0.187228070175439,0.132342564399981,0.065917560187957,0.012280701754386,1.85508515442098,0.00842105263157895,11.775090623543,2.70056250448798,0.0893614094215137,2.66265635612141,22.2521259284111,0.0718367346938776,0.0336734693877551,1.83050599679487,0,0,0,0,0.0629824561403509,0.00998650472334683,0
