"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00842105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144360902255639,0,0.0114035087719298,0.0128654970760234,0.0095906432748538,0.00816326530612245,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0.00842105263157895,0,0,0,0,0,0,0,0,0,0,0.00842105263157895,0,0.00842105263157895,0,0.00526315789473684,0,0.00979591836734694,0,0,0,0.0179271708683474,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00601503759398496,0,0.0220935379508599,0,0,0,0.0130325814536341,0.00842105263157895,0.0299044538134507,0,0.00842105263157895,0.00526315789473684,0,0.0153061224489796,0,0,0,0.00784313725490196,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0.00842105263157895,0,0,0,0,0.010207336523126,0.0329233516976401,0,0,0,0.0172248803827751,0,0.0426900584795322,0.0172248803827751,0.0215892750995414,0,0,0.0848979591836735,0,0,0.00531480743313782,0.0532212885154062,0.0572829131652661,0,0,0.010207336523126
"8",0,0,0,0,0,0,0,0,0,0.0426638176638177,0,0,0,0,0.0945507708665603,0.0992845750740488,0,0,0,0.00601503759398496,0,0.0200033400926015,0.018050473778028,0,0.00526315789473684,0.00714285714285714,0.26687074829932,0.00941176470588235,0,0.165567226890756,0.14374649859944,0.133613445378151,0.0193432298695457,0,0.010207336523126
"9",0.00998650472334683,0.0292397660818714,0.010207336523126,0,0.0364448920417739,0.0304011777695988,0,0,0,0.0378283282085203,0,0,0.00701754385964912,0.00935672514619883,0.177809050793865,0.098341307814992,0,0,0.00601503759398496,0.026429710640237,0,0.0217308145871799,0.010207336523126,0.0471189912472257,0.0723281175912755,0.0336548766005273,0.507755102040816,0,0,0.232730773819692,0.131120448179272,0.149449112978525,0.076068376068376,0.00998650472334683,0.117136275031012
"10",0.0380566801619432,0.0654970760233918,0.0589845826687932,0.0430409356725146,0.0574132784461793,0.0416363363731785,0,0.00842105263157895,0,0.0825411218541377,0,0,0.00435421542480814,0,0.0994949494949495,0.0320255183413078,0.00842105263157895,0,0.018628389154705,0.00601503759398496,0.0252631578947368,0.0197306762689291,0.0211570905114964,0.441043869582578,0.421821830826666,0.0076530612244898,0.297959183673469,0.0272268907563025,0,0.163036575384224,0.0348389355742297,0.112605042016807,0.0474134053081421,0.00935672514619883,0.350239234449761
"11",0.0140350877192982,0.0614035087719298,0.010207336523126,0.00842105263157895,0.0465649938939536,0.010207336523126,0,0,0,0,0.0359356725146199,0,0.0140350877192982,0.00601503759398496,0.0276979814963205,0.0412192096402623,0.010207336523126,0,0.0355904637099869,0.0183162383684474,0.271309930198197,0.309208644280115,0.323919893784461,1.29862325950675,1.15483201675948,0.0480777159348588,0.0775510204081634,0.031931983544514,0,0.0342787114845938,0.0414565826330533,0.0281605975723623,0.0135672514619883,0,0.0484848484848485
"12",0.0253465006256075,0.0280701754385965,0,0,0,0,0,0,0,0,0.0264327485380117,0,0,0,0,0.159448298308706,0.10083505453244,0.101506397197571,0.32711683824077,0.0505370377816198,1.03112420306238,1.23827680234039,1.29040773535186,2.84216469028022,2.07508903253682,0.0444897959183674,0.00789115646258503,0.147787114845938,0,0,0.0169467787114846,0.0584313725490195,0.0333333333333333,0.0210526315789474,0
"13",0.00701754385964912,0.0105263157894737,0.0172248803827751,0,0,0,0,0.0095906432748538,0.0105263157894737,0,0.0742982456140351,0,0,0.0174337805297558,0.00701754385964912,0.619260647155642,0.537070929940902,0.351110178850341,0.592938981650678,0.324807566514009,2.6852654504586,2.0972374507531,3.78293874839206,3.84100153219949,2.71125106809349,0.219337955473171,0.0525170068027211,0.486986323941341,0.0413306451612903,0,0.0934173669467787,0.260672268907563,0.0812865497076024,0.0198830409356725,0.0278220804536594
"14",0.228691445597347,0.0205128205128205,0.00526315789473684,0,0,0.0281410597200071,0.00421052631578947,0.00935672514619883,0,0,0.267010453304128,0.0252631578947369,0,0.0588753936122357,0.0210526315789474,2.59076579937311,1.45473753963787,1.32173337558434,0.700432257993132,1.05748626779905,4.03884771546856,1.44269743738727,6.21759656622065,5.03544848986207,3.24594691544649,0.614630424044478,0.0160544217687075,1.64779673646391,0.092741935483871,0,0.283613445378152,0.801492063492064,0.291819745442037,0.048582995951417,0.020414673046252
"15",0.814307780042172,0.0766531713900135,0.0315523657628921,0.0242105263157895,0.0523125996810207,0.0160552897395003,0,0.047719298245614,0,0,0.493088402825245,0.0952826510721248,0.0085574162153786,0.179695673945228,0.0874003189792663,4.80891850148035,2.41950164622269,2.19540832183931,1.19087024216401,1.42467629669061,4.17433280845727,1.39569441351017,7.26925006706007,6.09022143008254,5.77973431133564,1.39023819967581,0.0163265306122449,2.49645579902642,0.173982771260998,0,0.661659663865546,1.74060976747477,0.547192531860185,0.152460638776428,0.0389597731702995
