"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095906432748538,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108187134502924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112280701754386,0,0,0,0,0,0,0,0,0,0,0,0.0095906432748538,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00853517877739331,0,0,0,0,0,0,0
"18",0,0,0,0,0,0.0197979797979798,0,0,0,0,0,0,0,0,0,0,0,0,0.00998650472334683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010207336523126,0,0,0,0,0.010207336523126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0.00998650472334683,0,0,0,0,0,0,0.0187134502923977,0,0,0.00833333333333333,0.00998650472334683,0,0,0,0.0172248803827751,0,0.0108187134502924,0,0,0.00842105263157895,0,0,0.00806711842529848,0,0,0,0.00686274509803922,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0.00863697705802969,0,0,0,0.00935672514619883,0.010207336523126,0,0.0207630102802366,0,0,0,0,0,0,0,0,0,0,0.00941176470588235,0,0,0,0,0,0,0.0105263157894737
"22",0.00935672514619883,0,0,0,0,0,0,0,0.00865497076023392,0,0,0,0.0197979797979798,0.0290192641468971,0.010207336523126,0,0.0105556737571106,0,0.010207336523126,0,0,0,0,0.00806711842529848,0.0274322169059011,0,0,0,0.00932459677419355,0.0107843137254902,0.00906862745098039,0,0,0,0.0216374269005848
"23",0,0.00998650472334683,0,0.00935672514619883,0,0,0,0,0,0.00863697705802969,0,0,0.010207336523126,0.00935672514619883,0,0,0.0105556737571106,0.0108187134502924,0.00701754385964912,0,0,0,0.020414673046252,0.0108187134502924,0,0,0,0,0,0.00941176470588235,0,0,0,0,0.0216374269005848
"24",0.0187134502923977,0,0,0,0,0.040829346092504,0,0.0111111111111111,0,0.00863697705802969,0,0,0,0.0380566801619433,0,0.020414673046252,0.0105556737571106,0.0108187134502924,0.00701754385964912,0,0,0,0,0,0.0144360902255639,0,0,0.00941176470588235,0,0,0.0169117647058823,0,0,0,0.0108187134502924
"25",0,0.00526315789473684,0,0,0.0128654970760234,0.020414673046252,0,0,0,0,0,0,0,0.00998650472334683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00964912280701754
"26",0,0,0,0.00935672514619883,0,0,0,0.018546365914787,0,0,0,0,0,0.00935672514619883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00998650472334683,0.00964912280701754,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451641925326136,0,0,0,0,0,0.010207336523126,0,0,0,0,0.00784313725490196,0,0,0,0,0,0,0.00980392156862745,0,0.00964912280701754,0.0210260499734184
"28",0,0,0,0,0,0,0,0.0203842940685046,0.00865497076023392,0.00863697705802969,0,0,0,0.00701754385964912,0,0,0,0,0,0,0,0,0,0,0.010207336523126,0,0,0,0,0.00941176470588235,0,0,0,0,0.0108187134502924
"29",0.00935672514619883,0,0,0.00935672514619883,0,0.010207336523126,0,0,0,0,0,0,0,0,0,0,0,0.0108187134502924,0,0.010207336523126,0.0112280701754386,0,0,0.0192397660818713,0,0,0,0,0,0,0.00906862745098039,0,0.00784313725490196,0,0.0108187134502924
