"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0.00863697705802969,0,0,0,0.00601503759398496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309542483660131,0,0,0
"3",0,0,0,0,0,0,0.00740740740740741,0,0,0.128085690789474,0.0756939518938772,0,0,0.00935672514619883,0,0,0,0,0,0,0,0.0360153792097455,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0.00701754385964912,0,0.010207336523126,0.00998650472334683,0.159163420790095,0.140550739963104,0.0546988470840941,0.460228848012032,0.278137160606682,0.056437139052451,0.0317295234093217,0.046096006052592,0.0677894627398973,0,0.00740740740740741,0.012280701754386,0.0852183652827015,0,0,0.0478240227089081,0.00601503759398496,0,0,0.0163265306122449,0,0.00812324929971989,0,0,0,0,0,0,0
"5",0,0,0.010207336523126,0,0.0834655644511151,0.073713196133265,0.194927020894714,0.34421039770376,0.247210020000535,0.646474407021286,1.69811460055835,0.219782458133598,0.244310013108303,0.265384167264902,0.0589626410089526,0.187132131416779,0.366777316265237,0.0525397794594285,0.207224965999618,0.00784313725490196,0.0474146905725853,0.216473896450657,0.00601503759398496,0,0.00784313725490196,0.041399416909621,0.106938775510204,0.0233511586452763,0.0272066643034385,0.031693877938397,0.00812324929971989,0.0724695667440765,0.0692334153634463,0.00701754385964912,0
"6",0.00935672514619883,0.0805177278861489,0.0335258119483931,0.0580909221977561,0.132456670478168,0.300073772282714,0.601068538466858,0.763215871856301,0.379255502559441,0.742951894722362,2.48185827473837,0.543910059107762,1.03111565187344,1.00782447650167,0.490030576068344,0.710770717620391,2.10461242051873,0.316961463101061,0.488240496888595,0.539025068124334,0.263624431014541,0.624571534649653,0.123237651774857,0.203262554199768,0.195972973531248,0.108778749595076,0.212063492063492,0.143977591036415,0.218238487927461,0.146064490099895,0,0.367068050382327,1.06477423366268,0.0702444191931941,0.0294366278733137
"7",0.182187734292997,0.423677715473381,0.0857161554018622,0.00701754385964912,0.397647667727389,0.808006421718801,1.49313544595934,0.937282079718374,0.291761827023442,2.88649116066513,2.0767553770774,0.857651754729128,0.980127232883089,5.32214314807045,1.1206753231204,1.4618164587729,5.56498636865787,0.993136099967328,4.35854542826947,1.32084386391424,0.458858873765827,2.91673532658182,1.2056951418886,1.35611983228895,1.98902759186939,0.0834143181081957,0.60449669009279,0.881504359782128,1.5425911409585,1.46423071936132,0.0613501400560224,1.29588531983033,4.1247089687215,0.0777053433748957,0.258403489471754
"8",0.387875243664717,1.61808475322407,0.820051822199508,0.327568733296287,0.923772694415522,9.89498493587961,9.15437663255863,0.544908910087296,0.597827848706486,19.6205808603951,3.70635369431327,0.76644739465773,3.69214376402788,10.072773666831,2.68051146798301,5.27942090371442,5.84291021329411,4.99176337995192,9.15460047210584,3.23944218442823,1.11051822572523,8.51094843458915,2.50920776321023,4.10304949093993,4.49094066127762,0.323291221250405,3.11952725661102,2.93922919513435,3.6303488473321,18.0023115273078,0.475112920168067,3.39888589178317,8.66406907792687,0.249668481680415,0.813185783072877
"9",2.02099200993938,2.06181329850061,1.40445567121343,2.75875384437443,1.65883759338865,33.7277460940613,23.0940735219058,1.0131751411982,1.07366733813334,77.0535016070925,5.90846853588229,2.45982451474421,12.0573133939113,6.75897291511303,4.23688496019972,12.0453100182201,5.86406552117391,8.19111191486531,18.0051095232619,16.446384730023,4.49640899342974,10.2440155061751,4.27933957990371,6.86111957481618,7.84981375177601,1.12256877593805,17.264825935287,8.66436916387801,3.95724148234159,39.4647437752853,5.08606832898154,19.131346419061,31.9505433607306,1.74301148843412,2.27009589676361
"10",5.74838742154532,1.53120820012461,4.48685397879181,6.37816374100165,8.2045262483769,64.361780765275,26.3232999065985,3.52460166326788,2.52420538598245,99.1747228825051,15.9983282316433,10.5497761752025,24.3136517103817,6.48341211852083,8.53684452533827,10.8499852458883,11.0594867093057,12.8112080032773,45.6503794949873,29.2596830918969,10.4213907029978,16.309156495593,10.7789457013887,13.7477102421019,16.1667825629527,7.40993188110824,41.8909616825444,13.690439550124,5.37947798882319,42.437892247007,14.6631641303316,48.9901590362217,68.9432017476302,5.59589622661151,4.44685121128043
