"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392156862745098,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196490244449428,0,0,0,0,0.0686274509803922,0,0,0
"7",0.00584795321637427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458477237048666,0,0,0,0,0.0392156862745098,0,0,0
"8",0.0213450292397661,0,0,0,0,0,0,0.00701754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136054421768707,0.458477237048666,0,0,0.0401960784313726,0,0.0559725813402284,0,0,0
"9",0,0,0,0,0,0,0.0199568206970373,0.00701754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136054421768707,0.589470733348284,0,0,0.0323529411764706,0.0184313725490196,0.10303140486964,0,0,0
"10",0.0543859649122807,0,0,0,0.0257309941520468,0,0.029935231045556,0.00701754385964912,0,0,0,0,0.00584795321637427,0,0,0,0,0,0,0.0116959064327485,0,0,0,0.00584795321637427,0,0.0136054421768707,0.523973985198475,0,0.00887096774193548,0.0205882352941176,0.0749019607843137,0.214086403792286,0,0,0
"11",0.0330409356725146,0,0,0.0192982456140351,0.0385964912280702,0,0,0.0350877192982456,0,0,0,0,0,0.00964912280701754,0,0,0,0,0,0.0175438596491228,0,0,0,0.0116959064327485,0,0.0136054421768707,0.523973985198475,0.0107843137254902,0,0.126470588235294,0.266274509803922,0.240647220426632,0,0,0
"12",0.0350877192982456,0,0,0.0192982456140351,0.141520467836257,0,0.0445157340499291,0.00701754385964912,0,0,0,0.00584795321637427,0,0,0,0,0,0,0,0.0116959064327485,0,0,0,0,0,0.0272108843537415,0.261986992599237,0.0565351998923139,0.0268817204301075,0.0725490196078431,0.378039215686275,0.74280058177117,0,0,0
"13",0.0175438596491228,0.00584795321637427,0,0.0289473684210526,0.0257309941520468,0,0.0169959542081678,0.0210526315789474,0,0,0,0,0,0.00964912280701754,0,0,0,0,0,0.010207336523126,0,0,0,0.00584795321637427,0,0,0.458477237048666,0.0673195136178041,0,0.111764705882353,0.241960784313726,0.665969079939668,0,0,0
"14",0.00584795321637427,0.00964912280701754,0,0,0.064327485380117,0,0.0199568206970373,0.00701754385964912,0,0,0,0.00584795321637427,0,0.00935672514619883,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0.0654967481498094,0.0282675999461569,0,0.202941176470588,0.186666666666667,0.377902122387416,0,0,0
"15",0.0116959064327485,0,0,0.00964912280701754,0,0,0,0.00701754385964912,0,0,0,0.0233918128654971,0.00584795321637427,0,0,0,0,0,0,0,0,0,0,0.0116959064327485,0,0,0,0.0107843137254902,0,0.273529411764706,0.138823529411765,0.22674127343245,0,0,0
"16",0.00584795321637427,0,0,0,0,0,0,0.00935672514619883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584795321637427,0.202923976608187,0.00897959183673469,0,0.0107843137254902,0.0134408602150538,0.0843137254901961,0,0.107843137254902,0,0,0
"17",0,0.0116959064327485,0,0,0,0,0,0,0,0,0,0.00584795321637427,0,0,0,0,0,0,0,0,0,0,0,0.00584795321637427,0.493653844782392,0,0,0.0282675999461569,0,0.0431372549019608,0,0.0660153163829634,0,0,0
"18",0,0.0116959064327485,0,0,0.0785188848437233,0.0292397660818713,0.0415548675610595,0.0114035087719298,0,0,0.00626790269707853,0,0.00584795321637427,0,0,0.0175438596491228,0.024500556139374,0,0.00584795321637427,0,0,0,0,0.0292397660818713,1.06971385017444,0.0361904761904762,0,0.180389913402432,0,0,0.0196078431372549,0.0472976370035194,0,0,0
"19",0.0116959064327485,0.087719298245614,0,0,0.213992999291511,0.0116959064327485,0.0661187612257116,0.123875986301426,0,0.0087719298245614,0.0438753188795497,0.00584795321637427,0.00584795321637427,0,0,0.0774853801169591,0.0317575818473875,0,0.0292397660818713,0.00604752142334464,0,0,0,0.0818713450292398,1.6634473785778,0.109051372727213,0.0112244897959184,0.386433795486158,0.0940860215053764,0,0.0294117647058824,0.039693313222725,0,0.0140350877192982,0
"20",0.0856926266282991,0.16374269005848,0.0233918128654971,0,0.586061120474723,0.203083466241361,0.209093978127182,0.489540146702428,0.0280701754385965,0.0087719298245614,0.0910416000702005,0.00584795321637427,0.0350877192982456,0,0,0.235380116959064,0.0893348238147672,0,0.0571109315462442,0.0181425642700339,0,0,0.0166666666666667,0.0935672514619883,0.937379230708049,0.285410040105103,0,0.4926942963681,0.188172043010753,0.0196078431372549,0.145098039215686,0.284567352582059,0,0.105265811030412,0
