"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379937482239273,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98522307473714,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597044614947428,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186274509803922,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294117647059,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00980392156862745,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272108843537415,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0.00584795321637427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292397660818713,0,0,0,0,0,0,0,0,0,0
"13",0.19766081871345,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0,0.0313537733224956,0,0,0.0130718954248366,0,0,0,0,0,0,0
"14",0,0,0,0,0.0128654970760234,0,0,0.00935672514619883,0,0,0,0,0.0760233918128655,0.00964912280701754,0,0,0,0,0,0,0,0,0,0,0.0297338345873698,0,0,0.0261437908496732,0,0,0.0377258524656976,0,0,0.0296261014527268,0
"15",0.0213450292397661,0,0,0,0.0128654970760234,0,0,0.00935672514619883,0,0,0,0,0.134502923976608,0.0578947368421053,0,0,0,0,0,0,0,0,0,0,0.0653156223911138,0,0,0.130718954248366,0.053763440860215,0.208053221288515,0.138328125707558,0,0,0.0592522029054537,0
"16",0.800292397660819,0.00584795321637427,0,0.0140350877192982,0.0128654970760234,0,0,0.00935672514619883,0,0,0.00584795321637427,0,0.0116959064327485,0.0675438596491228,0,0,0,0,0,0,0,0,0,0,0.103643219159611,0,0.0136054421768707,0.28921568627451,0.32258064516129,1.00126050420168,0.290197072175321,0.0453732584955193,0,0.0930658093196793,0
"17",0,0.0116959064327485,0,0,0.0385964912280702,0,0,0.0234130781499203,0,0,0,0,0,0.00964912280701754,0,0,0,0.00601503759398496,0,0,0.00584795321637427,0,0.00964912280701754,0,0.0584795321637427,0,0.394455782312925,0.42483660130719,0.201612903225806,0.684208683473389,0.302040571699842,0.136119775486558,0,0.0322576804000953,0.0162217137045512
"18",0.401169590643275,0.0213450292397661,0,0,0.050829485995691,0.0432335169177274,0.0342947764892457,0,0,0,0,0,0.00584795321637427,0.00964912280701754,0,0,0.00964912280701754,0,0.00584795321637427,0,0,0,0,0.0195499142867564,0.0276198273467455,0.141597879988728,0.135986394557823,0.149346405228758,0.0134408602150538,0.0107843137254902,0.121805008377485,0.573136576211986,0,0.0467730412002858,0.0664251207729469
"19",1.7906432748538,0.101415820252385,0,0,0.0931555863342567,0.210081817776181,0.0177549891921782,0.0234130781499203,0.0510518721045037,0,0,0.00584795321637427,0.00584795321637427,0.00964912280701754,0,0,0.0415872929479853,0.0230994152046784,0.0760233918128655,0,0,0,0,0.174421656722853,0.0594676691747396,0.736651548881311,0.0543877551020408,0,0.0134408602150538,0.0245098039215686,0.0337780192908572,0.744167767497141,0,0.467730412002858,0.172463768115942
"20",4.39327485380117,0.217743921206525,0.0502938523755492,0.0552631578947368,0.0829455216989843,0.212765012284115,0.104099531362848,0,0,0.0087719298245614,0,0.00584795321637427,0.0233918128654971,0.0385964912280702,0,0.0192982456140351,0.10977158511584,0,0.0701754385964912,0.0116959064327485,0.0101857763994041,0,0,0.313762077127923,0.174806794767099,2.4651345782323,0.0951700680272109,0.0799536852495112,0.053763440860215,0.446638655462185,0.0880269890866277,0.379317284531093,0.00842105263157895,0.779268873541319,0.291990846681922
"21",4.1219298245614,0.394213604185903,0.332679616802529,0.106021528471941,0.101658971991382,0.179696097996926,0.191659275428628,0.777017543859649,0.166021113389534,0,0.124909600956383,0.00584795321637427,0.0292397660818713,0.0192982456140351,0.00584795321637427,0.0385964912280702,0.119181226074493,0.00566113573705157,0.0409356725146199,0.0116959064327485,0.0305573291982122,0.00701754385964912,0,0.620992748967461,0.172198719020976,2.20176947241686,0.0136054421768707,0.320683458927295,0.129838709677419,0.922759103641457,0.241021191523969,1.1573715993201,0,0.881785345717234,0.618014238494788
