"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00980392156862745,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392156862745098,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130718954248366,0.479301075268817,0,0,0.00980392156862745,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237365591397849,0,0,0.169607843137255,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803921568627451,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843137254901961,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481964440248604,0,0,0,0,0,0,0.0107843137254902,0,0,0
"15",0,0,0,0,0,0,0,0,0,0.00863697705802969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204189284871371,0,0,0,0,0,0,0,0,0.0282333741330069,0
"16",0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0.0114035087719298,0,0,0,0.0456140350877193,0,0,0,0,0,0,0,0.087719298245614,1.26750854292038,0.00952380952380952,0,0,0,0,0,0,0,0.677437780497756,0
"17",0,0,0,0,0.0584795321637427,0,0,0,0,0.0175438596491228,0,0,0,0,0,0.0570175438596491,0,0,0,0,0,0,0,0.455847953216374,1.26982600372381,0.0179591836734694,0,0,0,0,0,0,0,1.00901672786618,0.0196822903028716
"18",0,0,0,0,0.0467836257309941,0,0,0.00701754385964912,0.0421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817446393762183,0.825785831953167,0,0.0112244897959184,0,0,0,0,0.117647058823529,0,1.32824153406773,0.0168586890110849
"19",0.00584795321637427,0,0.0292397660818713,0.00964912280701754,0.0362573099415205,0.0428629043874053,0.00701754385964912,0,0.0140350877192982,0,0,0,0,0,0,0.00584795321637427,0.00725702570801357,0,0,0,0,0,0,1.08508771929825,0.951011316169211,0,0,0,0,0,0,0.268627450980392,0,0.359249286005712,0.0196822903028716
"20",0.00584795321637427,0,0.0116959064327485,0.00701754385964912,0,0.500120992135511,0.00701754385964912,0,0,0,0,0,0,0,0.0292397660818713,0.0935672514619883,0.0290281028320543,0,0,0,0,0.00701754385964912,0,0.571637426900585,5.21292549555707,0,0,0,0,0,0,0.130392156862745,0,0.0282333741330069,0.196822903028716
"21",0,0,0,0,0.0116959064327485,0.709278944487656,0.056140350877193,0,0.00701754385964912,0,0,0,0,0,0.0584795321637427,0.140350877192982,0.130626462744244,0,0,0,0,0.0140350877192982,0,0.0233918128654971,4.07642743221691,0.0653061224489796,0,0,0,0,0,0.0196078431372549,0,0.127050183598531,0.275552064240203
"22",0.00584795321637427,0,0,0.0578947368421053,0.00584795321637427,0.556739550024486,0.106140350877193,0,0.0140350877192982,0,0,0.0114035087719298,0,0,0.0292397660818713,0.087719298245614,0.0580562056641086,0.0292397660818713,0.0210526315789474,0.00604752142334464,0,0.0280701754385965,0,0.0116112411328217,3.17987850023774,0.0925170068027211,0,0,0,0,0.00862745098039216,0.00980392156862745,0,0.323386372909017,0.216505193331588
"23",0,0,0.010207336523126,0.0456140350877193,0.0175438596491228,0.447408751764469,0.102631578947368,0,0.00701754385964912,0.0152046783625731,0,0.00584795321637427,0,0,0.0116959064327485,0.140350877192982,0.0145140514160271,0.0292397660818713,0.0105263157894737,0.0241900856933786,0,0.0280701754385965,0,0,0.606325419675367,0.0693877551020408,0,0,0,0,0,0,0,0.0705834353325173,0.0295234354543074
"24",0,0,0,0,0.0233918128654971,0.105263157894737,0.0584795321637427,0,0,0.0168421052631579,0,0.00584795321637427,0,0,0.00526315789473684,0.0865497076023392,0,0,0.00584795321637427,0.0725702570801357,0,0.00701754385964912,0,0,0,0.00816326530612245,0,0,0,0,0,0,0,0,0.00740740740740741
"25",0,0,0,0,0.00584795321637427,0.0315789473684211,0.0294736842105263,0,0,0.0672514619883041,0.00833333333333333,0,0,0,0,0.0467836257309941,0.0152046783625731,0.0146198830409357,0.0152046783625731,0.163283078430305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
