"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017741935483871,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532258064516129,0,0,0,0,0,0
"6",0,0,0,0,0,0,0.00997841034851866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584795321637427,0,0,0,0,0.159677419354839,0,0.0294117647058824,0.0323529411764706,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116959064327485,0,0,0,0,0.0798387096774194,0,0.0882352941176471,0.193137254901961,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584795321637427,0,0,0,0,0,0,0.196078431372549,0.126470588235294,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156862745098039,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584795321637427,0,0,0,0,0,0,0.0588235294117647,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00980392156862745,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116959064327485,0,0,0.0130718954248366,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116959064327485,0,0,0.0392156862745098,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143790849673203,0.0134408602150538,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192982456140351,0,0,0,0,0,0,0,0,0,0,0.00584795321637427,0,0,0.156862745098039,0.0134408602150538,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192982456140351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326797385620915,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0915032679738562,0.0134408602150538,0,0,0.0107843137254902,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00908147033560007,0,0,0,0.0915032679738562,0.0134408602150538,0,0.00862745098039216,0.0205882352941176,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00964912280701754,0,0,0.0140350877192982,0,0,0,0,0,0,0.0181629406712001,0,0,0,0.0130718954248366,0,0,0,0.00980392156862745,0,0,0
"21",0,0,0,0,0.0128654970760234,0,0,0,0,0,0,0,0,0.0289473684210526,0,0,0,0,0,0,0,0,0,0.0292397660818713,0.00584795321637427,0,0,0.0130718954248366,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0.00584795321637427,0,0,0,0,0.0350877192982456,0,0.0116959064327485,0,0,0,0.00584795321637427,0.0324732832010971,0.0377347648770512,0,0,0,0,0,0,0.0215686274509804,0,0,0
"23",0,0,0,0,0.0128654970760234,0,0.00701754385964912,0,0,0,0,0,0,0.00964912280701754,0,0,0.0140350877192982,0,0.00584795321637427,0,0,0.00701754385964912,0.0213450292397661,0.0746471177598717,0.0722686221165336,0,0,0,0,0,0,0,0,0,0
"24",0,0,0.00584795321637427,0,0.0900584795321637,0,0.00701754385964912,0,0,0,0,0,0,0,0,0,0.0903662930522119,0,0.0760233918128655,0,0,0.0166666666666667,0.0233918128654971,0.184381954817989,0.115851340209959,0,0,0.104575163398693,0.0403225806451613,0,0,0,0,0,0
"25",0,0,0.0116959064327485,0,0.0900584795321637,0,0.00701754385964912,0,0,0.0087719298245614,0.00626790269707853,0,0,0,0.00584795321637427,0.0116959064327485,0.164973944138672,0,0.0935672514619883,0.00584795321637427,0.0116959064327485,0.0815789473684211,0.0233918128654971,0.221945998204544,0.240629276558851,0,0,0.0522875816993464,0.0403225806451613,0,0,0.0196078431372549,0,0,0
"26",0,0,0.0116959064327485,0,0.0385964912280702,0,0.0210526315789474,0,0.0140350877192982,0.0087719298245614,0,0,0,0.00964912280701754,0,0,0.271098879156636,0,0.0994152046783626,0.0526315789473684,0.0175438596491228,0.0570175438596491,0.0347953216374269,0.406327953022533,0.313883358077901,0,0,0.104575163398693,0.0672043010752688,0,0,0.0490196078431373,0,0,0
"27",0,0,0.0175438596491228,0,0.0315789473684211,0,0.0350877192982456,0.0701754385964912,0.0140350877192982,0.0087719298245614,0,0.0467836257309941,0.0175438596491228,0.00964912280701754,0,0.0347953216374269,0.205355653050114,0,0.0760233918128655,0.0469831939379645,0.00584795321637427,0.0666666666666667,0.124561403508772,0.37509283186559,0.197046558465425,0,0,0.0915032679738562,0,0,0,0.0313725490196078,0,0,0
