"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00816326530612245,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00840336134453781,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564111242737068,0,0,0,0,0,0.00840336134453781,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00964912280701754,0,0,0,0,0,0,0,0,0,0,0.00701754385964912,0.00714285714285714,0,0.0169385401219311,0.00892215862705823,0,0,0,0.00421052631578947,0,0
"11",0.00701754385964912,0,0,0,0.0148538011695906,0,0,0,0,0,0.0172461456671983,0,0,0.0095906432748538,0.00842105263157895,0.0287886209836898,0,0,0,0,0,0,0,0,0.04,0.0145578231292517,0.00884353741496599,0.055874114351623,0,0.0145658263305322,0,0,0.0210526315789474,0.00701754385964912,0.0175438596491228
"12",0.0140350877192982,0.0283945157010172,0,0.00526315789473684,0.00526315789473684,0,0,0.0201169590643275,0.0095906432748538,0,0.0659649122807018,0.00789671101986023,0,0.115730994152047,0,0.107560490333037,0,0.0374092418222392,0.00526315789473684,0,0,0,0.0218713450292398,0.0175438596491228,0.13376544254527,0,0,0.0852858790575054,0.0165738506586784,0.00531480743313782,0.00637254901960784,0,0.0421052631578947,0.0274224021592443,0.0306432748538012
"13",0.0210526315789474,0.0731829573934837,0.0799498746867168,0.012280701754386,0.0241380637783552,0,0.0095906432748538,0.0606237816764133,0.0095906432748538,0.0142543859649123,0.272870404449352,0.0515789473684211,0.0138011695906433,0.147697422340537,0,0.233283049589537,0.0393810636710544,0.0348833130741366,0.0454970760233918,0.01923474663909,0.0186783512508279,0.0588387549362894,0.116959064327485,0.0964034180591085,0.284260651629073,0.0408163265306122,0.0153061224489796,0.191594582597004,0.0658250027324111,0.0476470588235294,0,0.0159103641456583,0.0463157894736842,0.0585874943769681,0.0938011695906433
"14",0.0390676972543403,0.116290726817043,0.215932174934945,0.0390643274853801,0.0515141202130498,0,0.0095906432748538,0.0632773811278898,0.0340350877192983,0.0808403912079049,0.580426532531796,0.203768429736764,0.0300653594771242,0.54273752550376,0,0.318568189180599,0.0157894736842105,0.423327225336696,0.0429239766081871,0.0253801169590643,0.00526315789473684,0.208479532163743,0.13859649122807,0.41427043133717,0.474337558795166,0.0425170068027211,0.0251700680272109,0.282064590542099,0.12811514957816,0.0743417366946779,0,0.0472829131652661,0.0812351358258543,0.102422402159244,0.124912280701754
"15",0.146198830409357,0.242429603420315,0.382450483340561,0.0560302717578259,0.109433927799133,0.00526315789473684,0.0400055637197095,0.192056729245397,0.0618713450292398,0.0889912280701754,1.2891269625259,0.367742285397815,0.0371929824561404,1.00322876326027,0.00899122807017544,0.611634714434647,0.0474909438366685,0.65793495285957,0.153672445348274,0.00526315789473684,0.00526315789473684,0.547477004299788,0.207490637240677,0.697797822434898,0.611990963252907,0.0948979591836735,0.0244897959183673,0.412125454019658,0.154195044356586,0.0573109243697479,0.00637254901960784,0.165302736479207,0.0583723102528829,0.40892987493126,0.161226298068403
"16",0.130292397660819,0.622991419758266,0.79850477182352,0.104809081527348,0.296888304007777,0.052046783625731,0.121409072491639,0.44834949605428,0.120896686159844,0.209436882435975,1.65713872446292,0.368241211298881,0.0492466460268318,1.80445019958065,0.0167105263157895,0.651685364885259,0.0321734798435262,0.93661943552435,0.315919184379425,0.0095906432748538,0.0105263157894737,0.904402625833802,0.494818790613129,0.722052389825453,0.590411720397644,0.150438829702453,0.0857142857142857,0.513301924607893,0.294564754750946,0.0291316526610644,0,0.378383968972204,0.0671539772309121,0.598874941533387,0.152663476874003
"17",0.214736842105263,1.26938947415279,1.31177984176855,0.196374269005848,0.435464015103373,0.0339961013645224,0.246488426051916,0.511642144611271,0.139391619344812,0.357948963552412,2.34597567698408,0.317397377212523,0.0374269005847953,1.7359895822656,0.086246297562087,1.05551359190789,0.0191812865497076,0.890315922519155,0.602989610002458,0,0.0211344916017051,1.15505007347739,0.812459903147327,0.487020809521218,0.525645123543484,0.154112299090208,0.117609586590364,0.369439775910364,0.374014168060118,0.0680392156862746,0.00686274509803922,0.609382317029376,0.0481454577746436,0.914638365864133,0.172787524366472
