"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107843137254902,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0.012280701754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012280701754386,0.0105263157894737,0.00833333333333333,0,0,0,0,0,0,0.012280701754386,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0.00935672514619883,0,0,0,0,0.0105263157894737,0.00740740740740741,0,0,0,0,0,0.00701754385964912,0,0,0,0.00584795321637427,0.0188304093567252,0,0,0.0342105263157895,0.0468899521531101,0,0,0,0,0,0,0.0065359477124183,0.0095906432748538,0.00998650472334683,0
"13",0,0.0114035087719298,0.0114035087719298,0,0.0214424951267057,0.0105263157894737,0.00771929824561404,0.0114035087719298,0,0,0,0.0114035087719298,0.00998650472334683,0.0222672064777328,0,0,0.012280701754386,0.0206140350877193,0,0.012280701754386,0.047485380116959,0,0.00584795321637427,0.0319298245614035,0.0105263157894737,0,0,0,0.0134408602150538,0,0,0.0065359477124183,0.00526315789473684,0,0.00964912280701754
"14",0.0214424951267057,0,0,0,0.00928426260876457,0.00740740740740741,0,0,0,0,0.00791675531783299,0.00584795321637427,0,0,0.012280701754386,0,0.0193520685547029,0.00870843084961628,0,0,0.0142690058479532,0,0,0.0198245614035088,0.012280701754386,0,0,0.00784313725490196,0.00932459677419355,0,0,0,0,0,0
"15",0.0140350877192982,0,0,0,0,0,0.00740740740740741,0,0,0,0,0,0,0,0.00740740740740741,0,0.0245614035087719,0.012280701754386,0.00998650472334683,0.0181286549707602,0.024561403508772,0,0,0,0.00784313725490196,0,0,0,0,0,0,0,0,0.00998650472334683,0
"16",0.0280701754385965,0,0,0,0,0.0291677912730544,0,0.0140350877192982,0,0.0128654970760234,0.0076555023923445,0,0.00584795321637427,0.012280701754386,0,0,0.012280701754386,0.012280701754386,0.0126786795967007,0,0.012280701754386,0,0.0350487127850651,0.0421485069929113,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0.0140350877192982,0,0,0.00740740740740741,0.00982456140350877,0,0,0,0.012280701754386,0.00964912280701754,0,0,0.0216401251127242,0.0309070677382875,0.0133045471313582,0.0114035087719298,0,0,0.0223489177960413,0.0159329681457935,0,0,0,0.00853517877739331,0,0,0,0,0,0,0
"18",0.00935672514619883,0.00584795321637427,0,0,0,0,0.00964912280701754,0,0,0,0.0206432748538012,0,0.012280701754386,0.0156641604010025,0,0.00584795321637427,0,0.0221986368886712,0.0315789473684211,0.00584795321637427,0.0177109440267335,0.00935672514619883,0,0.0172932330827068,0.0196453701097664,0,0,0.0107843137254902,0,0,0,0,0,0,0
"19",0,0.00701754385964912,0,0,0.0140350877192982,0.00964912280701754,0,0,0.0128654970760234,0,0.0108855385620204,0,0,0.0443191311612364,0,0.00964912280701754,0.0219298245614035,0.0286549707602339,0.0261700442073816,0.0188805346700084,0.0268370858203766,0,0.0394261306703351,0.0307268170426066,0.035672514619883,0,0,0,0,0,0,0.00967320261437908,0,0,0
"20",0.00998650472334683,0,0.0140350877192982,0,0.0269005847953216,0.00701754385964912,0.0496240601503759,0.0168421052631579,0.0294736842105263,0.0128654970760234,0.00982456140350877,0.0128654970760234,0.0187134502923977,0.0786581839213417,0.0232732120718058,0.0553185525264119,0.00964912280701754,0.062593984962406,0.0386178303393782,0.0265350034062473,0.0172431077694236,0.0271345029239766,0.0689368695560899,0.036374269005848,0.134878193701723,0,0.014930563941553,0,0.00887096774193548,0,0,0,0,0,0
"21",0.00701754385964912,0.00701754385964912,0.00784313725490196,0,0.00701754385964912,0.0392262708052182,0.0482456140350877,0.00701754385964912,0.063859649122807,0.0385964912280702,0.0257309941520468,0,0.0315789473684211,0.0798695456590193,0.0253199956975368,0.0289473684210526,0.0321052631578948,0.0522138680033417,0.0371762740183793,0.10132998779147,0.0623893065998329,0.00771929824561404,0.0531739414834132,0.0704678362573099,0.102854481215143,0,0,0,0.00887096774193548,0.00784313725490196,0,0,0.0174922600619195,0.00964912280701754,0.0108187134502924
