"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0.0128654970760234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0.0172514619883041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0.010207336523126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00964912280701754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00964912280701754
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00701754385964912,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00964912280701754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0.0128654970760234,0,0,0,0,0.0114035087719298,0,0,0,0,0,0,0,0,0,0.0128654970760234,0.00897959183673469,0,0,0,0,0,0,0,0,0
"22",0.0192982456140351,0,0,0,0.0140350877192982,0,0,0,0,0,0,0,0,0,0,0.0192982456140351,0,0.0187134502923976,0.0133045471313582,0.0187134502923977,0,0,0,0,0,0.00897959183673469,0,0,0,0,0,0.0107843137254902,0,0,0
"23",0.0192982456140351,0,0,0,0,0.0187719298245614,0.00964912280701754,0,0.0257309941520468,0,0,0,0,0.00964912280701754,0,0,0,0.0192982456140351,0.0266090942627164,0.0226822342284007,0.0128654970760234,0,0,0.0114035087719298,0,0,0,0.0107843137254902,0,0,0,0,0,0.00701754385964912,0
"24",0.0192982456140351,0,0.010207336523126,0,0,0.0192982456140351,0.027719298245614,0,0,0.0128654970760234,0,0,0,0.00998650472334683,0.0253199956975368,0.0118629908103592,0.00964912280701754,0.0168337510442774,0.0133045471313582,0.0445172909204961,0.0269005847953217,0,0.0105263157894737,0.0257309941520468,0.0233918128654971,0,0,0,0,0,0.00862745098039216,0,0,0,0
"25",0.00964912280701754,0.0198830409356725,0,0,0.0128654970760234,0.0871929824561404,0.0289473684210526,0,0.0128654970760234,0,0,0.0385964912280702,0.0257309941520468,0.00964912280701754,0.0201146924244167,0,0.017056530214425,0.0105263157894737,0.0324570474790907,0.0415736685867163,0.0581355349157206,0,0.0105263157894737,0,0.0105263157894737,0,0,0,0,0,0,0,0,0.00964912280701754,0.0236842105263158
"26",0.0370126554777035,0.0429824561403508,0,0.0289473684210526,0.0257309941520468,0.0493620414673046,0.0289473684210526,0,0.0105263157894737,0.0165350877192982,0,0.0128654970760234,0,0.00964912280701754,0,0,0.017056530214425,0.0324561403508772,0.018050473778028,0.0392776555822713,0.0105263157894737,0,0.0434640522875817,0,0.0192466460268318,0,0,0.00949072755917469,0.0223118279569892,0,0,0.0366666666666667,0.0280701754385964,0.0192982456140351,0.0236842105263157
"27",0.1150828309163,0.0604747162022703,0.0526315789473684,0.0385964912280702,0.039766081871345,0.0621832358674464,0.00701754385964912,0.017056530214425,0.0619883040935673,0.00842105263157895,0,0,0.018050473778028,0.0105263157894737,0.0331881509341131,0.0118022328548644,0.0257309941520468,0.0114035087719298,0.0222222222222222,0.053856308756562,0.0233918128654971,0.0105263157894737,0,0,0.0443639533872376,0,0,0,0.00887096774193548,0.0188235294117647,0.0184313725490196,0,0,0.0289473684210526,0.0666666666666667
