"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767453303229189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0.0116959064327485,0,0,0,0.0497704778750616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862745098039216,0,0,0,0
"13",0,0,0,0,0,0.0192982456140351,0,0,0,0.0128654970760234,0,0.00584795321637427,0,0,0,0.154947354998967,0,0,0,0,0,0,0.0926416159968691,0,0,0,0,0,0,0.0107843137254902,0.00862745098039216,0,0,0,0
"14",0,0,0,0,0,0.00964912280701754,0,0,0,0.0239766081871345,0.0210260499734184,0.0228070175438597,0.00701754385964912,0,0.0277511961722488,0.417395762132604,0.00701754385964912,0.0233918128654971,0,0,0.0112280701754386,0.0110392146872506,0.508627513198817,0.00833333333333333,0.00566113573705157,0,0,0,0,0.0467787114845938,0.00862745098039216,0.0107843137254902,0,0,0
"15",0,0,0,0,0,0.00964912280701754,0,0,0,0.179710145472221,0.00584795321637427,0.0526315789473684,0.0116959064327485,0,0.0815523657628921,0.540831923831584,0.115859362399871,0.0175438596491228,0,0,0.0196491228070175,0,0.474925558391062,0.0792452149250183,0,0,0,0,0,0.141596638655462,0.00862745098039216,0.0107843137254902,0.017004048582996,0,0
"16",0.0233918128654971,0,0,0,0,0,0,0,0,0.472068156017285,0,0.0358674463937622,0.0691857849752587,0,0.00584795321637427,0.2311665527455,0.544778357197044,0.0262626262626263,0,0,0.109941520467836,0,0.53022219653087,0.130294789490668,0,0,0,0,0,0.208823529411765,0.0345098039215686,0.0215686274509804,0.00701754385964912,0,0.00964912280701754
"17",0.0409356725146199,0,0,0,0,0.00964912280701754,0,0,0,0.158977397538961,0,0.0175438596491228,0.0562221404326668,0,0.0409356725146199,0.0804853041695147,0.435729560537367,0.0321105794790005,0.0574770258980785,0,0.266807755341473,0,0.354770248419194,0.0560997322282796,0,0,0,0,0,0.101960784313725,0.0263235294117647,0.0107843137254902,0.0359649122807018,0.00701754385964912,0
"18",0.0350877192982456,0,0,0.00964912280701754,0,0,0,0,0,0.0222222222222222,0,0,0,0,0.0549707602339181,0.016222374117111,0.132432246772874,0,0.160401002506266,0,0.0568421052631579,0,0.336010855203749,0.0314327485380117,0,0,0,0,0,0.0623249299719888,0.00862745098039216,0,0.00964912280701754,0,0
"19",0.0116959064327485,0,0,0,0,0.00964912280701754,0,0,0,0,0,0,0,0,0.0175438596491228,0.0228070175438597,0.0345029239766082,0,0.0514619883040936,0,0.0398830409356725,0,0.0324561403508772,0,0,0,0,0,0,0.053921568627451,0,0,0,0,0.00584795321637427
"20",0,0,0,0,0,0.00964912280701754,0,0,0,0.0152046783625731,0,0,0,0,0.010207336523126,0,0.0576160626722424,0.0262626262626263,0,0,0,0,0.00964912280701754,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0
"21",0.00964912280701754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00998650472334683,0.794408838736923,0,0,0,0,0.00584795321637427,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17920136129027,0,0,0,0,0.0656346749226006,0,0,0,0,0,0,0,0,0,0,0.00850611376927166,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00964912280701754,0,4.35379752458395,0.0817036301445437,0,0,0,0.0946955624355005,0,0,0,0,0,0,0,0,0,0.00935672514619883,0,0
"24",0,0,0,0,0,0,0.0105263157894737,0,0,0.0152046783625731,0,0,0,0,0,0.0156641604010025,0.0193166007579825,1.45958002018799,0.394539432346616,0,0,0,0.0865834080103739,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00964912280701754,0,0.282629384203927,1.3374524732104,0.0114035087719298,0,0,0.0313725490196078,0,0,0,0,0,0,0,0,0,0,0.00964912280701754,0
"26",0,0,0,0,0,0,0.0210526315789474,0,0,0,0,0,0,0,0,0.00601503759398496,0,0.149461954196594,3.33597838213996,0.0114035087719298,0,0,0.00784313725490196,0,0.0114035087719298,0,0,0,0,0,0,0,0,0.00964912280701754,0
