"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00979591836734694,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0.0081140350877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0.00842105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00840336134453781,0,0,0
"10",0,0,0,0,0,0.00771929824561404,0,0.00935672514619883,0,0,0,0.00771929824561404,0,0.0076555023923445,0,0,0,0,0,0,0.0112280701754386,0,0,0.0195614035087719,0,0,0,0,0.00932459677419355,0,0,0,0.00701754385964912,0.00998650472334683,0
"11",0.00935672514619883,0,0,0,0,0,0,0,0.00526315789473684,0,0,0,0.0154385964912281,0.0180451127819549,0.00740740740740741,0.00766019380290321,0.00544276928101018,0.00601503759398496,0.016222374117111,0.00842105263157895,0,0,0,0.0222222222222222,0,0,0,0,0,0.0138935574229692,0,0.0168067226890756,0.00701754385964912,0.00421052631578947,0.00701754385964912
"12",0.00701754385964912,0.00701754385964912,0.00701754385964912,0,0.0188109161793372,0.00998650472334683,0.00870843084961628,0.00740740740740741,0.0269005847953216,0,0.0120300751879699,0,0,0.0213868003341688,0.010207336523126,0,0.0224561403508772,0.00701754385964912,0.016222374117111,0.0241073271413829,0,0.00842105263157895,0,0.0425301516702554,0.0095906432748538,0,0,0.0233893557422969,0.00899503722084367,0.0481792717086835,0.0252100840336134,0,0.0140350877192982,0.0182456140350877,0
"13",0.0210526315789473,0.0287081339712918,0.0157259747092654,0.00842105263157895,0.0228460038986355,0.00842105263157895,0.0126315789473684,0.02223195937569,0.0565392344042053,0.00701754385964912,0.0196855775803144,0.0157894736842105,0.00701754385964912,0.0731633004078824,0.0242424242424242,0.0196902689908732,0.0293324328050319,0.00601503759398496,0.0430386310604096,0.0420969089390142,0.0112280701754386,0,0,0.047485380116959,0,0,0,0.00840336134453781,0,0.0578711484593837,0.0404761904761904,0.0100840336134454,0.0280701754385965,0.0112280701754386,0.0140350877192982
"14",0,0.0614035087719298,0.0403508771929825,0,0.0605792258423838,0.017004048582996,0.0252631578947369,0.0227332125085221,0.0140350877192982,0.0154385964912281,0.032444748234222,0.0210526315789474,0.00701754385964912,0.126453388372893,0.0210526315789473,0.050116599445634,0.0233945110776364,0,0.0437905107596577,0.0686239663329447,0.0284711779448622,0.0103273058152501,0.0216374269005848,0.0712352477437726,0.0109042703221075,0.0153061224489796,0,0.00686274509803922,0.0201612903225806,0.0899159663865546,0.0727731092436975,0.0365639589169001,0,0.0254251012145749,0.00421052631578947
"15",0.023391812865497,0.128115159694107,0.0341589267285861,0,0.0587858535226956,0.0466985645933014,0.0126315789473684,0.0232358674463937,0.0140350877192982,0.0539811066126855,0.0437229437229437,0.0105263157894737,0.0266666666666666,0.223185414516684,0.0701754385964912,0.0153203876058064,0.0509068568503609,0,0.0808141042260824,0.0644316674038036,0.0406766917293233,0.0448866152866588,0.0291368434117865,0.15765246449457,0.0210762280648578,0.023469387755102,0.0285714285714285,0.0162745098039216,0,0.0168067226890756,0.0711484593837535,0.0337535014005602,0.0280701754385965,0.0436707152496626,0.00421052631578947
"16",0.0608187134502924,0.10829346092504,0.096720126756049,0.00526315789473684,0.106432748538012,0.0965621123515861,0.0304093567251462,0.0521068236296463,0.0525345518136176,0.0674932523616734,0.0593301435406698,0.0157894736842105,0.0414035087719298,0.235628160011012,0.12822966507177,0.0687280148707243,0.0834394704356061,0.0709356725146198,0.18063726956649,0.120767962687467,0.0854120595606663,0.0432639691790351,0.0602661819095461,0.318464765199383,0.0870875048036412,0.0286734693877551,0.0285392918057833,0.0178151260504202,0,0.0275070028011205,0.0610644257703081,0.0900746965452848,0.0421052631578948,0.0860818713450293,0.0144249512670565
"17",0.0280701754385964,0.0982456140350878,0.0943543638639704,0.0189473684210526,0.118728181866346,0.130590111642743,0.0582211014149185,0.0114035087719298,0.0616374269005848,0.083187452515013,0.0546308954203691,0.00526315789473684,0.118500171998624,0.238884561793338,0.11984211241474,0.158298804152786,0.139231311534147,0.0422416952412054,0.280790238194957,0.0774322615808684,0.116289252543123,0.164903381642512,0.108844169246646,0.369200465953616,0.175414506484758,0.0430612244897959,0.00952380952380952,0.051656050955414,0.0426931939028713,0.125420168067227,0.0885154061624649,0.124957983193277,0.0556005398110661,0.0814035087719298,0.0550026581605529
