"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0.0152046783625731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0.00998650472334683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0.0152046783625731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0.0128654970760234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274509803921569,0,0,0,0
"22",0,0,0,0,0,0.0105263157894737,0,0.0228070175438597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107843137254902,0,0,0,0,0,0,0
"23",0.0114035087719298,0.0350877192982456,0.0114035087719298,0,0,0,0,0,0,0,0.0105263157894737,0,0,0,0,0,0,0,0.012280701754386,0,0,0,0,0,0,0,0,0,0,0,0.0274509803921569,0.0107843137254902,0,0,0
"24",0.0114035087719298,0.0368421052631579,0,0,0,0,0,0.0114035087719298,0.010159835991219,0,0,0,0,0,0,0.00964912280701754,0.00701754385964912,0.00842105263157895,0.0105263157894737,0,0.0128654970760234,0,0.0126997949890238,0.0105263157894737,0.00601503759398496,0,0,0,0,0,0.0274509803921569,0,0,0,0
"25",0,0,0,0,0,0,0.00982456140350877,0,0,0,0,0,0.0128654970760234,0.0368421052631579,0,0,0,0.0210526315789474,0,0.0271197987278847,0,0,0,0,0,0.00952380952380952,0,0,0,0,0.00980392156862745,0,0,0.00701754385964912,0.00912280701754386
"26",0.00701754385964912,0,0.0114035087719298,0,0,0,0,0,0.0128654970760234,0,0,0.012280701754386,0,0.0108855385620204,0,0.00964912280701754,0,0.0296992481203007,0,0.012280701754386,0,0,0.0105263157894737,0.0228070175438597,0,0,0,0.0132870185828446,0.0100806451612903,0,0,0,0,0,0.0140350877192982
"27",0,0.0429824561403509,0,0.00842105263157895,0,0,0.0198029717520274,0.0206766917293233,0,0.00982456140350877,0.00601503759398496,0,0,0.012280701754386,0.0253995899780475,0.00964912280701754,0.0294736842105263,0.012280701754386,0,0,0,0,0,0,0.0324045407636739,0.00952380952380952,0,0.0205882352941176,0,0,0,0.0107843137254902,0,0,0.0105233091297223
"28",0.0114035087719298,0.0166666666666667,0.0140350877192982,0,0,0,0.0194736842105263,0.0105263157894737,0.0210453745532394,0,0,0,0,0.0459679328998439,0.0376802917324335,0.00584795321637427,0.0379093425723069,0.104912280701754,0.0305764411027569,0.0245614035087719,0.0348370927318296,0,0,0.012280701754386,0.012280701754386,0,0.0285714285714286,0.0132870185828446,0,0,0,0.0107843137254902,0,0,0
"29",0,0.0307017543859649,0.0421052631578947,0.00964912280701754,0,0,0.0696059435040549,0.0114035087719298,0,0.0154385964912281,0,0,0,0.0342105263157895,0.0707353841028255,0,0.0707163601161665,0.0830701754385965,0.0207017543859649,0.0210526315789474,0.012280701754386,0.012280701754386,0.0126997949890238,0.0350877192982456,0,0.019047619047619,0,0,0,0,0,0.0107843137254902,0,0.0114035087719298,0
