"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0.0095906432748538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0.026588693957115,0,0,0,0,0,0,0.00964912280701754,0.020414673046252,0,0,0,0,0,0,0,0,0,0.00784313725490196,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0.0467836257309941,0,0.0180116959064327,0,0,0,0,0,0,0.00967603427735143,0.0222222222222222,0,0,0,0.0152046783625731,0,0,0,0,0.0114035087719298,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0.00584795321637427,0,0.148538011695906,0.0148148148148148,0,0,0,0,0,0,0,0.0675438596491228,0.030622009569378,0.0330409356725146,0,0.0302287581699346,0,0,0.102042778178323,0,0,0,0.012280701754386,0,0,0,0,0,0,0.307516339869281,0.00526315789473684,0.0965555555555555,0
"7",0,0,0.0175438596491228,0.00964912280701754,0.2,0.0801559454191033,0.00701754385964912,0.0298245614035088,0.0385964912280702,0.0505922926975559,0,0,0,0.0981203007518797,0.0299983582706363,0.969413872894524,0.0304093567251462,2.60234593468598,0.0152046783625731,0,0.282928783145077,0,0,0,0.0366886798745914,0,0,5.81220865704772,0,0.0215686274509804,0,0.0705882352941176,0.00526315789473684,0.919,0.00701754385964912
"8",0,0,0.628569806393005,0,0.0771929824561404,0.0266666666666667,0,0.0324561403508772,0.0514619883040936,0.109821562453141,0,0,0.00998650472334683,0.180116959064327,1.06645306380875,4.19244236595785,0,6.07248117570615,0.0152046783625731,0,0.522879115597212,0.0166935781370006,0,0.0104427736006683,0.37094697390662,0,0,24.2175360710322,0,0,0,0.268600953895072,0.00679336288446188,1.34550877192982,0
"9",0,0,1.91232612275024,0.0578947368421053,0.177777777777778,0,0,0.0491228070175439,0.0514619883040936,0.182369920527815,0,0,0,0.275730994152047,1.71670385156552,3.32444871027302,0,0.41005244150239,0.0477663988949463,0,0.803949371144757,0.00964912280701754,0,0.0104427736006683,1.18942020262173,0,0,9.71315821926255,0,0,0,1.41822116233881,0.00701754385964912,0.344736842105263,0
"10",0.0456140350877193,0,1.28609549764379,0.308771929824561,0.0128654970760234,0,0.0193351354947175,0.0654135338345865,0.128654970760234,0.0428879892037787,0,0,0,0.141520467836257,0.388620284272192,0.226941479573059,0,0.0105263157894737,0,0,0.503869262196587,0.0868421052631579,0.122622345337027,0.104427736006683,0.853187313054715,0,0,4.35915649278579,0,0.0107843137254902,0,0.732500567794685,0.0166666666666667,0.414912280701754,0
"11",0.101214574898785,0,0.31107704536422,0.299122807017544,0.0257309941520468,0,0.0263526793543666,0.0491228070175439,0.0128654970760234,0,0,0,0,0.039766081871345,0.0725889046941678,0,0,0.0631578947368421,0,0,0.183357171589345,0.171052631578947,0.191043397968606,0.135756056808688,0.158263808451791,0,0,3.55990093529453,0,0.0107843137254902,0,0.212718600953895,0,0.229888888888889,0
"12",0.0114035087719298,0,0.00584795321637427,0.125438596491228,0,0,0.0199568206970373,0.00701754385964912,0,0,0,0,0,0,0.0616693248272196,0,0,0.0105263157894737,0,0,0.0763117840262757,0.221929824561404,0.117066789781471,0.0104427736006683,0,0,0,0.847229426750124,0,0,0,0,0.00701754385964912,0.496812865497076,0
"13",0,0,0,0.0192982456140351,0,0,0.00997841034851866,0,0,0,0,0,0,0,0.0228070175438597,0.020414673046252,0,0.0105263157894737,0,0,0,0.0578947368421053,0.0172514619883041,0,0,0,0,0.677783541400099,0,0.00980392156862745,0,0.0553789083200848,0,0.482777777777778,0
"14",0,0,0,0,0,0,0.00740740740740741,0,0,0,0,0,0,0,0,0.061244019138756,0,0,0,0,0,0.0192982456140351,0,0,0,0,0,4.23614713375062,0,0.0107843137254902,0,0,0,0,0
"15",0,0,0,0,0,0.00771929824561404,0,0,0,0,0,0,0,0,0,0.102056073034827,0,0,0,0,0,0,0,0,0,0,0,7.96395661145116,0,0,0,0,0,0,0
"16",0,0,0,0,0,0.0177058029689609,0,0,0,0,0.0108187134502924,0,0,0,0,0.040829346092504,0,0,0,0,0,0,0,0,0,0,0,5.25282244585077,0,0,0,0,0,0,0
"17",0,0,0,0,0,0.0694736842105263,0.0095906432748538,0,0,0,0.00833333333333333,0,0,0,0,0,0,0.646246939351721,0,0,0,0.0192982456140351,0,0,0,0,0,2.88058005095042,0,0.0107843137254902,0,0,0,0,0
"18",0,0,0,0,0.0128654970760234,0.0926315789473684,0.00997841034851866,0,0,0,0,0,0,0,0,0,0,5.45026968012226,0,0,0,0.00964912280701754,0,0,0,0,0,0,0,0.0411764705882353,0,0,0,0,0
"19",0,0,0,0,0,0,0.0964375663967456,0,0,0,0,0,0,0,0,0,0,6.21060688622016,0,0,0,0.106140350877193,0,0,0,0,0,0.508337656050074,0.0186491935483871,0.0392156862745098,0,0,0,0,0
"20",0,0,0,0,0,0,0.327987163127859,0,0,0,0,0,0,0,0,0,0,8.97143007503721,0,0,0,0.0482456140350877,0,0,0,0,0,0.677783541400099,0.00932459677419355,0,0,0.0294117647058824,0,0,0
"21",0,0,0,0,0,0,0.447962005438738,0,0,0,0,0,0,0,0,0,0,5.2507724768352,0,0,0,0.0166666666666667,0,0,0,0,0,1.52501296815022,0.0839213709677419,0,0,0.0588235294117648,0,0,0
