"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0.00964912280701754,0,0,0,0,0,0,0,0,0,0,0,0.0905954847592653,0,0,0,0,0.0109473684210526
"8",0,0,0,0,0,0.0421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312710473642771,0,0,0.116721113127647,0,0
"9",0,0,0,0,0,0.117144136443196,0,0,0,0,0,0,0,0,0,0,0,0,0.012280701754386,0,0,0,0.0126997949890238,0,0,0,0,0,0,0.294403931720428,0,0,0,0,0.139506678579742
"10",0.056140350877193,0,0,0,0.00982456140350877,0.340808401514226,0.00982456140350877,0,0,0,0,0.0790712074303405,0,0,0,0.177292924352996,0,0,0,0,0,0,0.0228070175438597,0,0,0,0.0490743561106034,0,0,0.547548575555556,0,0,0.315392469985943,0,1.92609227032385
"11",0.0982456140350877,0,0,0,0.0392982456140351,0.581513117972515,0.00982456140350877,0,0,0.0280701754385965,0,0.197936016511868,0.0396491228070175,0,0,1.82089330729571,0,0.012280701754386,0,0,0,0,0.0697290880143433,0,0.0105263157894737,0,0.092067553389515,0,0,1.07433757865475,0.0549019607843137,0,0.48723493027065,0.012280701754386,6.20240282084288
"12",0.214037524366472,0,0,0,0.00982456140350877,1.04473776892705,0,0.0294736842105263,0.00870843084961628,0.0280701754385965,0,0.448978328173375,0.419788101059495,0,0,6.01837708430058,0,0,0,0,0,0.0105263157894737,0.245625731836487,0.0473684210526316,0.0128654970760234,0,0.570447084306359,0.00980392156862745,0.0852011862092507,1.1297932233236,0.173333333333333,0,1.61797940853451,0.102698251584719,11.7321084958644
"13",0.14775828460039,0.0219298245614035,0.0128654970760234,0,0.00982456140350877,1.55150328058034,0.0196491228070175,0.088421052631579,0.0494268763947096,0.0294736842105263,0,0.520722394220846,0.603074089448507,0.0856232909603465,0,11.2831108697734,0,0,0,0.0716857087746213,0,0.0210526315789474,1.39047159105492,0.0368421052631579,0.0233918128654971,0,0.925750837648492,0.0243697478991597,0.100591299381622,2.37162296290475,0.274509803921569,0.0492225351172747,4.60387376407446,0.235321272551771,15.4185116501589
"14",0.107419730680469,0.0815273477812177,0.023859649122807,0,0.0172319688109162,1.34469014659465,0.059435951297312,0.336915579547159,0.020319671982438,0.0392982456140351,0,0.537440660474716,1.12797907314766,0,0.0076555023923445,13.0401617221252,0,0.0350877192982456,0,0.172373947789292,0,0.0105263157894737,2.91329435865048,0.0663157894736842,0.0128654970760234,0,1.76260466375605,0.0179271708683473,0.32553870114354,2.02571047596762,0.0635294117647059,0.032780291603821,8.40317626092599,0.869673529953982,14.2901217832496
"15",0.0867836257309942,0.0199362041467305,0.0347567740358399,0,0.0478752436647174,0.72607078642492,0.0587341969113471,0.405063727695306,0.0931259994088208,0.0182456140350877,0,0.574344685242518,1.32126465845226,0,0,7.82353589169977,0.012280701754386,0.0207017543859649,0.012280701754386,0.770650888354642,0,0,2.98493151947872,0.110283797729618,0.0233918128654971,0,2.02111727015631,0.0456582633053221,0.441052835306868,0.26131455236269,0.0733333333333333,0.144651399763847,6.28101112533292,2.11212918598552,6.44897940005108
"16",0.112236982142457,0.252036238810884,0.016868917138695,0.0368847117794486,0.0883430799220273,0.117845890829161,0.116979810946435,0.542447143499775,0.0490603965964549,0.00842105263157895,0.0095906432748538,0.99905056759546,0.885137109886421,0,0,2.11488118312916,0.012280701754386,0.020701754385965,0.012280701754386,1.59396353147967,0.104512309580536,0,1.73179226737256,0.175433436532508,0.0476123973616907,0,1.29814634311436,0.060427807486631,0.463968107012462,0.264878490400763,0.0725433675406271,0.336026302152517,3.64898550898527,3.03677980975848,1.26539661191496
"17",0.0716716799982075,0.250914239787012,0.0353216374269006,0.0368847117794486,0.173957115009747,0.157848852901485,0.383495545960244,0.269850052481632,0.122387574189561,0,0,0.672280701754386,0.560845933574251,0.0210526315789474,0,0.37873037141043,0.104903069128669,0.0395614035087719,0.0333936733676761,1.29982922396912,0.0645368565446538,0,0.803954961641911,0.463482972136223,0.431263554239392,0,0.753836260872508,0.0687588667430362,0.395352187388478,0.180201355001177,0.0515406162464986,0.326098221066932,2.56134627592218,2.08215346468435,0.321973988802065
"18",0.262638888888889,0.629404067969295,0.0614103887168903,0.216661805547166,0.0707212475633528,0.126654616338827,0.511978838448671,0.136686159844055,0.284752105285848,0.00982456140350877,0.0793838585275186,0.27750257997936,0.531374517121222,0.0734549203339744,0.0203552973813682,0.103217808122922,0.374459700709709,0.306491228070175,0.0207017543859649,1.16750326316182,0.103030148598317,0.060418367532067,0.353828888610505,1.03640522875817,0.848539860686544,0,0.209070294784581,0.137280366692131,0.181654161996904,0.098470592601444,0.101097484008124,0.425310605566854,2.01686632943812,0.737343228051382,0.0593965351563572
