"","N00","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N90","N91","N92","N93","N94","N95","N96","N97","N98","N99"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0.00998650472334683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0.00842105263157895,0,0,0,0.0210526315789474,0,0,0,0,0,0,0.0105263157894737,0,0,0,0,0,0.0648526077097506,0,0,0.0107843137254902,0,0,0.0619350099386397,0,0
"6",0.0213900134952767,0,0.00701754385964912,0,0.115751196172249,0.0827972709551657,0,0,0,0.283343120197187,0,0,0,0,0.0694720424811626,0,0,0.0192982456140351,0,0,0,0,0,0,0,0,0.169501133786848,0.48379826157267,0.00932459677419355,0.352104664391354,0,0.0107843137254902,0.309675049693199,0,0
"7",0.0269005847953216,0,0.0198830409356725,0.00964912280701754,4.19101927468034,0.737065164776221,0.0166666666666667,0,0.0173099415204678,1.93215609471744,0,0.00584795321637427,0.00998650472334683,0.00964912280701754,0.35069518746851,0.0464912280701754,0,0.0289473684210526,0.0662686467182195,0.0315789473684211,0,0,0.0224707460810788,0.0771929824561404,0,0.0460978195731342,0.900245419701804,4.7301394784718,0.0452620967741935,1.38979120658502,0.476470588235294,0.266274509803922,1.77501614075757,0.0330409356725146,0.0289473684210526
"8",0.0498500524816314,0.0192982456140351,0.143074490491795,0.114485538169749,14.0027292001687,3.30064711965547,0.0815789473684211,0.00964912280701754,0.0140350877192982,5.91973129172626,0,0.0429308565531476,0.164981020687703,0.0289473684210526,0.47918494157007,0.042495126705653,0.0105263157894737,0.00964912280701754,0.206781830082325,0.137033547209883,0.012280701754386,0.00833333333333333,0.135925905767521,0.0128654970760234,0,0.137463917480513,0.964699175864884,3.03646381717553,0.217205213593734,2.2428528560299,1.67254901960784,0.746386486821561,0.779883198264101,0.0140350877192982,0.0675438596491228
"9",0.34547608337082,0.0192982456140351,0.729413876969686,0.0262091038406828,19.2804432309006,5.29627247250109,0.0481286549707602,0.100175438596491,0,38.4501517744014,0,0.0526315789473684,0.375599160565101,0.00964912280701754,0.285087719298246,0.396734461705612,0.128839269891901,0.0306205170881382,0.585964912280702,0.180196975815498,0,0.00833333333333333,0.119044795923111,0.0128654970760234,0,0.156732586548656,2.19409154887299,0.79914089347079,0.197735397557456,2.35508492370604,2.29926470588235,2.40699936855226,0.274423977183433,0,0.161793372319688
"10",0.721034637876743,0.0815789473684211,1.12379676401185,0,4.93957245664385,5.63278226428419,0.0475388402063414,0.140564596600083,0.0257309941520468,29.2452714685404,0.0226900584795322,0.0308450865726408,0.72450049519712,0,0.0688961989296141,1.25250312430241,0.0749459507354244,0.00566113573705157,0.368421052631579,0.127474910635498,0,0.037719298245614,0.012280701754386,0.0105263157894737,0,0.0612187824468284,2.16979770358791,0.0516339869281046,0.171270161290323,3.50305620070866,4.42069327731092,3.12381504156067,1.19579397210976,0,0.490315779751401
"11",0.858812415654521,0.0403508771929825,0.548066071611778,0.0262091038406828,1.38908439713831,2.34527435291104,0.0196491228070175,0.448415473793066,0.0247173489278752,7.06373926327884,0.00584795321637427,0.0228070175438597,0.269511625280858,0,0.0114035087719298,1.77875893524701,0.0508771929824561,0,0.012280701754386,0.0108187134502924,0,0.0105263157894737,0,0,0.0228070175438597,0,1.60876798945673,0.464705882352941,0.0951648330413274,1.69125226779909,1.63137254901961,0.871788913919421,0.349034794343719,0,0.695857286608041
"12",0.244528415054731,0,0.0185082589514723,0,0.076367889420521,0.711406233145619,0.0191812865497076,0.974100877192982,0,1.38073998540528,0.563888175680374,0.0136842105263158,0.126242897301157,0.0771929824561404,0,0.53247650950258,0.0304093567251462,0,0,0.010207336523126,0.00784313725490196,0.0210526315789474,0,0,0,0.0359183673469388,0.287174712080372,0.899718281881544,0.0266129032258065,0.263817565572706,0,0.133782679738562,0.0386864597390913,0.0223023678685165,0.746351616086489
"13",0.0625206177837757,0.321747765640516,0.0207086343309254,0.0525276628499952,0,0.485641430628244,0.0206766917293233,0.110422236571403,0.113675096832992,0.0256578947368421,11.296126629636,0.00584795321637427,0.124304479152997,0.23191632928475,0,0.0799512569773278,0.331547049441786,0,0,0.139564170443158,0.0156862745098039,0.0105263157894737,0,0.127550186718459,0,0.0530612244897959,0.00979591836734694,0.967479692959666,0.0893649193548387,0,0.270979279562292,0.885544973153309,0.0398756087543273,0.154501977314645,0.0895134483479411
"14",0.133813165392113,1.71328853400186,0.157345548253158,0.661349092412782,0.0890425590100704,2.47197300942629,0.371355180387084,0.274753804981919,0.422653603706235,0.143529798745124,13.9851923293547,0.0908097355798888,0.439406359022534,0.294087989575934,0.150850041975034,0.0339245062473001,0.985425703860251,0.144880708961101,0.0258209626630679,0.564870402775908,0.126416282319031,0,0.0101900443266928,0.40356776916585,0.119721362229102,0.0971428571428571,0.0226592455163884,0.835512224906166,0.405433827900059,0.141719295226623,1.32118390642756,2.97182027391146,0.621790964937813,2.03032723174434,0.0753224152095395
