"","ABREV","TALLA","vol.relativo","COLOR"
"1","E.encrasicolus","< 18",0.458745079135535,"red"
"2","E.encrasicolus","> 34",0.0734537169859084,"red"
"3","Euphausiacea","< 18",0.0599341206716478,"orange"
"4","M.merluccius","18 - 34",0.25630032806442,"yellow"
"5","M.Myctophidae","< 18",0.0730296456977585,NA
"6","M.norvegica","< 18",0.0531185560108192,"blue"
"7","M.poutassou","< 18",0.133901073886613,"cyan"
"8","M.poutassou","> 34",0.660281832756729,"cyan"
"9","M.poutassou","18 - 34",0.327318818968088,"cyan"
"10","Osteichthyes","< 18",0.171928978870411,"brown"
"11","Osteichthyes","18 - 34",0.0589024753951685,"brown"
"12","Osteichthyes","> 34",0.0813264703400557,"brown"
"13","otros","< 18",0.0493425457272167,"purple"
"14","otros","> 34",0.130090287739431,"purple"
"15","otros","18 - 34",0.106024455711303,"purple"
"16","S.colias","18 - 34",0.108857739337906,"gold1"
"17","S.scombrus","18 - 34",0.0745600954369222,"darkorange2"
"18","Trachurus sp","18 - 34",0.0680360870861915,"violet"
"19","Trachurus sp","> 34",0.0548476921778753,"violet"
